"","LU1997245177","LU0109392836","LU0359201612","LU0823426308","LU0594300179","base1","base2"
"2017-11-03",9.07,17.32,20.56,421.23,19.91,3992.6979,2587.840088
"2017-11-06",9.2,17.44,20.59,427.98,20.12,4020.8896,2591.129883
"2017-11-07",9.26,17.4,20.82,430.35,20.21,4054.2465,2590.639893
"2017-11-08",9.22,17.46,20.79,429.68,20.29,4048.0057,2594.379883
"2017-11-09",9.34,17.27,20.91,431.39,20.31,4075.8998,2584.620117
"2017-11-10",9.48,17.33,20.93,433.24,20.47,4111.9112,2582.300049
"2017-11-13",9.54,17.33,20.91,433.36,20.64,4128.0733,2584.840088
"2017-11-14",9.4,17.33,20.73,430.26,20.44,4099.351,2578.870117
"2017-11-15",9.31,17.2,20.42,425.83,20.3,4073.6696,2564.620117
"2017-11-16",9.43,17.44,20.64,434.77,20.71,4105.0122,2585.639893
"2017-11-17",9.34,17.42,20.79,437.57,20.8,4120.8508,2578.850098
"2017-11-20",9.48,17.52,20.8,438.85,20.94,4143.8334,2582.139893
"2017-11-21",9.69,17.68,21.17,450.67,21.39,4217.7015,2599.030029
"2017-11-22",9.64,17.62,21.29,448.53,21.23,4227.5666,2597.080078
"2017-11-23",9.26,17.61,21.1,441.1,20.94,4102.3966,2599.75
"2017-11-24",9.23,17.73,21.13,443.42,21.05,4104.2034,2602.419922
"2017-11-27",9.05,17.63,21,436.08,20.73,4049.9475,2601.419922
"2017-11-28",9.14,17.68,20.9,437.67,20.77,4055.8235,2627.040039
"2017-11-29",9.17,17.12,20.78,432.64,20.31,4053.7529,2626.070068
"2017-11-30",9.02,17.22,20.45,424.31,20.15,4006.0993,2647.580078
"2017-12-01",9.07,17.1,20.31,420.93,19.93,3998.1365,2642.219971
"2017-12-04",9.13,16.66,20.43,422.28,20,4018.8571,2639.439941
"2017-12-05",9.1,16.68,20.22,418.17,19.88,4040.1704,2629.570068
"2017-12-06",9.09,16.81,19.8,409.95,19.55,4015.8211,2629.27002
"2017-12-07",8.93,17.01,19.89,412.15,19.7,3971.0569,2636.97998
"2017-12-08",9.06,17.07,20.18,419.77,20.02,4003.3792,2651.5
"2017-12-11",9.29,17.17,20.4,427.6,20.34,4069.4997,2659.98999
"2017-12-12",9.18,17.06,20.21,422.15,20.13,4016.0163,2664.110107
"2017-12-13",9.26,17.11,20.48,428.31,20.34,4050.0927,2662.850098
"2017-12-14",9.23,17.12,20.4,426.22,20.22,4026.1516,2652.01001
"2017-12-15",9.11,17.31,20.14,421.97,20.15,3980.8558,2675.810059
"2017-12-18",9.13,17.42,20.27,425.41,20.32,3985.2914,2690.159912
"2017-12-19",9.27,17.33,20.41,425.75,20.42,4035.3294,2681.469971
"2017-12-20",9.31,17.28,20.27,425.8,20.39,4030.4898,2679.25
"2017-12-21",9.49,17.23,20.55,432.79,20.71,4067.8485,2684.570068
"2017-12-22",9.45,17.22,20.63,435.36,20.72,4054.5984,2683.340088
"2017-12-26",9.355,17.15,20.58,433.985,20.65,4053.6224,2680.5
"2017-12-27",9.26,17.2,20.53,432.61,20.59,3991.2075,2682.620117
"2017-12-28",9.36,17.25,20.67,434.66,20.68,4018.8974,2687.540039
"2017-12-29",9.45,17.15,20.66,435.3,20.75,4030.8549,2673.610107
"2018-01-02",9.61,17.4,21.18,449.32,21.19,4087.4012,2695.810059
"2018-01-03",9.68,17.59,21.35,453.42,21.37,4111.3925,2713.060059
"2018-01-04",9.71,17.71,21.59,456.91,21.45,4128.8119,2723.98999
"2018-01-05",9.73,17.89,21.6,457.36,21.46,4138.7505,2743.149902
"2018-01-08",9.77,18,21.84,460.59,21.55,4160.1595,2747.709961
"2018-01-09",9.81,17.97,21.87,464.04,21.73,4189.2977,2751.290039
"2018-01-10",9.85,17.89,21.85,463.36,21.6,4207.8132,2748.22998
"2018-01-11",9.8,17.99,21.83,463.4,21.58,4205.5863,2767.560059
"2018-01-12",9.88,18.1,22.08,468.5,21.84,4225.001,2786.23999
"2018-01-15",9.95,18.09,22,465.4,21.8,4225.2393,2781.329956
"2018-01-16",10.1,18.01,22.54,471.99,22.07,4258.473,2776.419922
"2018-01-17",10,18.24,22.46,472.01,22.06,4248.1164,2802.560059
"2018-01-18",10.07,18.29,22.69,474.31,22.07,4271.4168,2798.030029
"2018-01-19",10.06,18.38,22.8,478.63,22.22,4285.395,2810.300049
"2018-01-22",10.2,18.52,22.89,483.09,22.42,4336.5974,2832.969971
"2018-01-23",10.25,18.69,23.31,489.13,22.65,4382.6129,2839.129883
"2018-01-24",10.23,18.56,23.5,490.82,22.66,4389.8853,2837.540039
"2018-01-25",10.22,18.55,23.29,486.16,22.6,4365.0794,2839.25
"2018-01-26",10.2,18.87,23.78,496.5,22.85,4381.2996,2872.870117
"2018-01-29",9.94,18.7,23.74,488.28,22.51,4302.0181,2853.530029
"2018-01-30",9.81,18.54,23.16,479.52,22.25,4256.1021,2822.429932
"2018-01-31",9.97,18.69,23.45,487.68,22.53,4275.8986,2823.810059
"2018-02-01",9.86,18.6,23.17,479.38,22.24,4245.8978,2821.97998
"2018-02-02",10.01,18.21,23.07,476.94,21.91,4271.2326,2762.129883
"2018-02-05",9.98,17.59,22.92,469.64,21.77,4274.1464,2648.939941
"2018-02-06",9.63,17.95,21.89,454.59,20.9,4148.8856,2695.139893
"2018-02-07",9.45,17.77,21.47,447.56,21.01,4050.4972,2681.659912
"2018-02-08",9.36,17.03,21.34,439.37,20.6,4012.0472,2581
"2018-02-09",9.07,17.32,20.55,431.65,19.97,3840.6527,2619.550049
"2018-02-12",9.26,17.62,20.7,435.07,20.43,3890.1046,2656
"2018-02-13",9.36,17.71,20.99,443.64,20.74,3935.6324,2662.939941
"2018-02-14",9.5,18.08,21.45,452.58,21.16,3966.9614,2698.629883
"2018-02-15",9.595,18.39,21.63,465,21.49,4009.8473,2731.199951
"2018-02-16",9.6425,18.39,21.72,463.295,21.63,4031.29025,2732.219971
"2018-02-19",9.66625,18.38,21.765,462.4425,21.48,4042.011725,2724.2399905
"2018-02-20",9.678125,18.47,21.81,461.59,21.56,4047.3724625,2716.26001
"2018-02-21",9.6840625,18.41,22.25,468.79,21.84,4050.05283125,2701.330078
"2018-02-22",9.69,18.39,21.94,466.91,21.76,4052.7332,2703.959961
"2018-02-23",9.74,18.72,22.24,471.45,21.87,4071.0889,2747.300049
"2018-02-26",9.97,18.91,22.42,474.86,21.99,4118.4186,2779.600098
"2018-02-27",9.81,18.76,22.08,465.4,21.69,4058.9806,2744.280029
"2018-02-28",9.71,18.65,21.74,460.91,21.55,4023.6415,2713.830078
"2018-03-01",9.78,18.46,21.86,458.96,21.6,4049.0863,2677.669922
"2018-03-02",9.66,18.67,21.42,451.93,21.24,4016.461,2691.25
"2018-03-05",9.67,18.87,21.17,449.7,21.21,4018.097,2720.939941
"2018-03-06",9.83,19.02,21.7,461.64,21.42,4066.5647,2728.120117
"2018-03-07",9.79,19.21,21.47,457.35,21.38,4036.6536,2726.800049
"2018-03-08",9.9,19.27,21.75,463.45,21.69,4077.6001,2738.969971
"2018-03-09",10.03,19.58,21.96,470.58,22.04,4108.8652,2786.570068
"2018-03-12",10.11,19.67,22.42,474.9,22.13,4127.6662,2783.02002
"2018-03-13",10.03,19.48,22.42,472.55,21.88,4091.2533,2765.310059
"2018-03-14",10,19.56,22.39,472.03,21.84,4073.3447,2749.47998
"2018-03-15",10.07,19.55,22.56,477.45,22.14,4096.1627,2747.330078
"2018-03-16",9.91,19.53,22.49,476.73,22.1,4056.4226,2752.01001
"2018-03-19",9.97,19.22,22.39,473.02,21.89,4074.2479,2712.919922
"2018-03-20",9.98,19.37,22.33,479.95,22.17,4077.7041,2716.939941
"2018-03-21",9.95,19.33,22.2,473.59,22.02,4061.0502,2711.929932
"2018-03-22",9.83,18.8,21.72,458.83,21.3,4020.349,2643.689941
"2018-03-23",9.54,18.37,21.2,453.53,20.97,3904.9355,2588.26001
"2018-03-26",9.59,19.02,21.4,460.92,21.11,3879.893,2658.550049
"2018-03-27",9.69,18.39,21.73,459.65,21.37,3913.2689,2612.620117
"2018-03-28",9.52,18.1,21.03,449.08,20.66,3842.7155,2605
"2018-03-29",9.59,18.46,21.01,450.88,20.87,3894.0498,2640.870117
"2018-03-30",9.575,18.215,21.015,450.22,20.86,3898.4977,2611.375
"2018-04-02",9.5675,17.97,21.0175,449.89,20.64,3886.9189,2581.879883
"2018-04-03",9.56,18.11,21.02,449.56,20.78,3862.4796,2614.449951
"2018-04-04",9.46,18.3,20.55,444.35,20.62,3854.8625,2644.689941
"2018-04-05",9.44,18.36,21.1,446.11,20.95,3853.89585,2662.840088
"2018-04-06",9.43,17.95,20.85,447.87,20.66,3853.412525,2604.469971
"2018-04-09",9.42,18.07,20.94,450.82,20.98,3852.9292,2613.159912
"2018-04-10",9.63,18.44,21.32,460.47,21.28,3927.1729,2656.870117
"2018-04-11",9.69,18.42,21.37,461.21,21.34,3938.3434,2642.189941
"2018-04-12",9.63,18.61,21.27,461.18,21.26,3898.6354,2663.98999
"2018-04-13",9.57,18.48,21.17,453.69,20.99,3871.1443,2656.300049
"2018-04-16",9.43,18.62,20.86,448.64,20.83,3808.863,2677.840088
"2018-04-17",9.22,19.02,20.69,445.6,20.77,3748.6412,2706.389893
"2018-04-18",9.22,19.06,20.81,447.74,20.79,3766.282,2708.639893
"2018-04-19",9.38,18.87,21.22,453.03,20.91,3811.843,2693.129883
"2018-04-20",9.25,18.66,20.9,446.88,20.7,3760.8543,2670.139893
"2018-04-23",9.16,18.52,20.79,442.42,20.69,3766.3257,2670.290039
"2018-04-24",9.37,18.19,21.05,448.24,20.77,3843.4886,2634.560059
"2018-04-25",9.35,18.1,20.67,441,20.52,3828.7015,2639.399902
"2018-04-26",9.04,18.49,20.68,439.28,20.5,3755.4941,2666.939941
"2018-04-27",9.13,18.48,20.92,441.64,20.62,3756.8765,2669.909912
"2018-04-30",9.155,18.44,21.24,446.89,20.81,3760.2613,2648.050049
"2018-05-01",9.1675,18.6,21.19,446.22,20.68,3761.9537,2654.800049
"2018-05-02",9.18,18.58,21.14,445.55,20.82,3763.6461,2635.669922
"2018-05-03",9.28,18.65,20.92,442.46,20.5,3793.0001,2629.72998
"2018-05-04",9.24,18.95,20.76,443.46,20.74,3774.5981,2663.419922
"2018-05-07",9.39,19.13,21.05,451.56,21,3834.1877,2672.629883
"2018-05-08",9.51,19.21,21.2,456.43,21.18,3878.6767,2671.919922
"2018-05-09",9.51,19.46,21.33,456.87,21.19,3871.6152,2697.790039
"2018-05-10",9.56,19.67,21.48,459.79,21.48,3893.0565,2723.070068
"2018-05-11",9.61,19.59,21.63,462.71,21.5,3872.8383,2727.719971
"2018-05-14",9.77,19.5,21.88,470.29,21.74,3909.2933,2730.129883
"2018-05-15",9.79,19.36,21.62,463.63,21.44,3924.0975,2711.449951
"2018-05-16",9.71,19.44,21.7,467.19,21.54,3892.8442,2722.459961
"2018-05-17",9.58,19.34,21.55,464.03,21.55,3864.0507,2720.129883
"2018-05-18",9.67,19.32,21.62,461.67,21.42,3903.0637,2712.969971
"2018-05-21",9.63,19.41,21.59,460.01,21.51,3921.2421,2733.01001
"2018-05-22",9.61,19.32,21.56,459.18,21.6,3906.2081,2724.439941
"2018-05-23",9.59,19.46,21.25,458.35,21.43,3854.5825,2733.290039
"2018-05-24",9.49,19.46,21.33,457.17,21.39,3827.217,2727.76001
"2018-05-25",9.47,19.5,21.25,459.31,21.41,3816.498,2721.330078
"2018-05-28",9.54,19.49,21.32,463.93,21.57,3833.2599,2705.5950925
"2018-05-29",9.41,19.42,21.15,458.4,21.35,3804.0093,2689.860107
"2018-05-30",9.24,19.58,20.85,454.26,21.23,3723.3724,2724.01001
"2018-05-31",9.49,19.57,21.04,461.41,21.49,3802.3759,2705.27002
"2018-06-01",9.34,19.89,21.12,465.51,21.62,3770.5891,2734.620117
"2018-06-04",9.48,20.06,21.55,473.85,21.96,3807.5781,2746.870117
"2018-06-05",9.65,20.16,21.67,475.27,22.1,3845.3164,2748.800049
"2018-06-06",9.69,20.26,21.68,476.94,22.29,3837.3511,2772.350098
"2018-06-07",9.66,19.95,21.87,477,22.22,3831.0128,2770.370117
"2018-06-08",9.57,19.99,21.54,472.71,22.06,3779.6159,2779.030029
"2018-06-11",9.54,20.01,21.62,473.22,22.09,3779.9818,2782
"2018-06-12",9.72,20.19,21.66,477.09,22.31,3825.9534,2786.850098
"2018-06-13",9.63,20.16,21.47,471.51,22.13,3788.3391,2775.629883
"2018-06-14",9.59,20.3,21.29,469.77,22.04,3773.3655,2782.48999
"2018-06-15",9.48,20.25,21.16,464.12,21.83,3753.4338,2779.659912
"2018-06-18",9.295,20.31,21.14,458.085,21.76,3687.2752,2773.75
"2018-06-19",9.11,20.14,20.48,452.05,21.26,3621.1166,2762.590088
"2018-06-20",9.15,20.24,20.62,456.15,21.44,3635.4436,2767.320068
"2018-06-21",9,20.05,20.41,449.19,21.16,3592.965,2749.76001
"2018-06-22",9.1,19.88,20.34,450.33,21.22,3608.9046,2754.879883
"2018-06-25",8.96,19.37,19.93,439.57,20.61,3560.4777,2717.070068
"2018-06-26",8.88,19.48,19.73,438.1,20.63,3531.1112,2723.060059
"2018-06-27",8.6,19.12,19.34,428.7,20.28,3459.2621,2699.629883
"2018-06-28",8.46,19.36,19.22,424.81,20.1,3423.5255,2716.310059
"2018-06-29",8.72,19.39,19.7,434.1,20.53,3510.9845,2718.370117
"2018-07-02",8.57,19.61,19.34,431.075,20.27,3407.9638,2726.709961
"2018-07-03",8.42,19.38,19.41,428.05,20.15,3409.2801,2713.219971
"2018-07-04",8.34,19.37,19.15,421.64,19.9,3363.7473,2724.915039
"2018-07-05",8.26,19.64,19.03,420.84,19.74,3342.4379,2736.610107
"2018-07-06",8.29,19.87,19.13,425.44,20.06,3365.1227,2759.820068
"2018-07-09",8.61,20,19.62,435.18,20.45,3459.1837,2784.169922
"2018-07-10",8.66,20.03,19.61,433.31,20.36,3467.5155,2793.840088
"2018-07-11",8.53,19.93,19.3,427.56,20.08,3407.5297,2774.02002
"2018-07-12",8.73,20.25,19.48,434.42,20.31,3481.0559,2798.290039
"2018-07-13",8.79,20.2,19.44,434.85,20.36,3492.6897,2801.310059
"2018-07-16",8.8,20.14,19.37,434.13,20.3,3472.0859,2798.429932
"2018-07-17",8.79,20.29,19.19,431.45,20.24,3449.3773,2809.550049
"2018-07-18",8.66,20.31,19.24,431.05,20.16,3431.3227,2815.620117
"2018-07-19",8.61,20.19,19.09,427.12,19.95,3428.343,2804.48999
"2018-07-20",8.73,20.19,19.23,428.61,20,3492.8938,2801.830078
"2018-07-23",8.74,20.22,19.27,426.23,19.87,3525.7503,2806.97998
"2018-07-24",8.81,20.12,19.67,430.42,20.08,3581.7057,2820.399902
"2018-07-25",8.91,20.44,19.72,436.12,20.26,3577.7522,2846.070068
"2018-07-26",8.74,20.28,19.66,431.42,20.15,3536.2456,2837.439941
"2018-07-27",8.64,19.91,19.66,428.87,20.01,3521.2269,2818.820068
"2018-07-30",8.56,19.46,19.49,423.78,19.69,3515.0794,2802.600098
"2018-07-31",8.53,19.57,19.37,421.85,19.66,3517.6568,2816.290039
"2018-08-01",8.42,19.68,19.17,417.93,19.47,3447.3882,2813.360107
"2018-08-02",8.21,19.9,18.77,411.03,19.04,3370.9579,2827.219971
"2018-08-03",7.94,19.88,18.72,408.75,18.96,3315.2839,2840.350098
"2018-08-06",7.83,20.06,18.64,405.53,18.79,3273.2728,2850.399902
"2018-08-07",8.11,20.16,18.9,411.06,19.09,3368.8695,2858.449951
"2018-08-08",7.93,20.2,18.88,408.84,18.93,3314.5075,2857.699951
"2018-08-09",8.2,20.25,19.03,413.34,19.23,3397.5298,2853.580078
"2018-08-10",8.18,20.06,18.87,409.81,19.09,3405.0191,2833.280029
"2018-08-13",8.15,20,18.56,406.67,18.82,3390.3441,2821.929932
"2018-08-14",8.06,20.08,18.38,399.24,18.53,3372.9137,2839.959961
"2018-08-15",7.91,19.84,18.14,395.405,17.9,3291.976,2818.370117
"2018-08-16",7.76,19.91,17.9,391.57,18.19,3276.7276,2840.689941
"2018-08-17",7.65,19.89,17.85,390.52,18.05,3229.6198,2850.129883
"2018-08-20",7.72,19.93,18.14,395.22,18.34,3267.2498,2857.050049
"2018-08-21",7.93,20.03,18.39,400.1,18.61,3326.6489,2862.959961
"2018-08-22",7.88,20.18,18.46,401.73,18.69,3307.9545,2861.820068
"2018-08-23",7.91,20.22,18.47,400.23,18.52,3320.0257,2856.97998
"2018-08-24",7.92,20.51,18.31,399.9,18.55,3325.3347,2874.689941
"2018-08-27",8.23,20.68,18.76,410.04,19,3406.5735,2896.73999
"2018-08-28",8.23,20.72,18.82,409.6,18.95,3400.1705,2897.52002
"2018-08-29",8.16,20.91,18.73,409.7,19.05,3386.5736,2914.040039
"2018-08-30",8.06,20.78,18.55,405.25,18.74,3351.0942,2901.129883
"2018-08-31",7.98,20.86,18.35,402.29,18.62,3334.5036,2901.52002
"2018-09-03",7.94,20.84,18.23,401.8,18.56,3321.8248,2899.1199955
"2018-09-04",8.01,20.89,18.31,400.39,18.49,3363.8984,2896.719971
"2018-09-05",7.82,20.42,17.9,393.02,18.07,3298.1412,2888.600098
"2018-09-06",7.73,20.29,17.74,389.94,17.88,3262.8808,2878.050049
"2018-09-07",7.79,20.31,17.79,390.76,17.93,3277.6438,2871.679932
"2018-09-10",7.59,20.37,17.5,385.3,17.59,3230.0681,2877.129883
"2018-09-11",7.58,20.51,17.23,382.87,17.44,3224.2116,2887.889893
"2018-09-12",7.51,20.47,17.15,380.34,17.38,3202.0248,2888.919922
"2018-09-13",7.58,20.64,17.75,389.23,17.78,3236.5662,2904.179932
"2018-09-14",7.59,20.69,17.84,389.42,17.93,3242.0902,2904.97998
"2018-09-17",7.47,20.25,17.57,384.31,17.68,3204.9224,2888.800049
"2018-09-18",7.61,20.32,17.68,386.5,17.79,3269.4319,2904.310059
"2018-09-19",7.74,20.23,18.03,395.37,18.14,3312.4823,2907.949951
"2018-09-20",7.73,20.43,18.19,398.49,18.29,3310.1258,2930.75
"2018-09-21",7.97,20.36,18.63,403.65,18.61,3410.4856,2929.669922
"2018-09-24",7.985,20.42,18.25,397.87,18.25,3395.14495,2919.370117
"2018-09-25",7.9925,20.51,18.26,400.36,18.26,3379.8043,2915.560059
"2018-09-26",8,20.44,18.46,402.85,18.46,3417.2413,2905.969971
"2018-09-27",7.94,20.52,18.32,402.71,18.41,3403.5902,2914
"2018-09-28",8.03,20.52,18.48,402.68,18.43,3438.8649,2913.97998
"2018-10-01",7.81,20.46,18.48,397.96,18.45,3364.88185,2924.590088
"2018-10-02",7.7,20.3,18.05,393.24,18,3327.890325,2923.429932
"2018-10-03",7.645,20.38,18.15,393.37,18.02,3309.3945625,2925.51001
"2018-10-04",7.6175,19.93,17.82,385.01,17.68,3300.14668125,2901.610107
"2018-10-05",7.60375,19.69,17.65,382.6,17.56,3295.522740625,2885.570068
"2018-10-08",7.59,19.32,17.22,375.23,17.22,3290.8988,2884.429932
"2018-10-09",7.57,19.25,17.22,373.67,17.26,3288.6906,2880.340088
"2018-10-10",7.54,18.34,17.09,366.79,16.93,3281.5978,2785.679932
"2018-10-11",7.2,18.15,16.58,363.64,16.59,3124.1139,2728.370117
"2018-10-12",7.34,18.73,16.89,368.59,16.98,3170.7262,2767.129883
"2018-10-15",7.24,18.48,16.64,364.9,16.81,3126.4516,2750.790039
"2018-10-16",7.15,19.11,16.68,368.1,16.92,3100.9738,2809.919922
"2018-10-17",7.05,19.08,16.68,364.58,16.86,3118.2463,2809.209961
"2018-10-18",6.95,18.63,16.48,361.06,16.55,3044.3918,2768.780029
"2018-10-19",7.15,18.46,16.66,364.95,16.73,3134.9455,2767.780029
"2018-10-22",7.51,18.61,17.09,371.28,17.19,3270.2732,2755.879883
"2018-10-23",7.28,18.53,16.57,362.22,16.64,3183.4257,2740.689941
"2018-10-24",7.24,17.68,16.57,359.11,16.47,3188.2018,2656.100098
"2018-10-25",7.24,18.22,16.45,358.61,16.49,3194.3084,2705.570068
"2018-10-26",7.12,17.77,16.27,354.97,16.18,3173.635,2658.689941
"2018-10-29",6.88,17.37,16.08,349.94,15.91,3076.8889,2641.25
"2018-10-30",6.97,17.71,15.95,347.7,15.77,3110.2605,2682.629883
"2018-10-31",7.1,18.24,16.44,357.89,16.27,3153.8234,2711.73999
"2018-11-01",7.32,18.68,16.93,367.095,16.83,3177.0338,2740.370117
"2018-11-02",7.54,18.47,17.42,376.3,17.15,3290.2455,2723.060059
"2018-11-05",7.42,18.31,17.14,373.13,17,3262.8351,2738.310059
"2018-11-06",7.39,18.33,17.27,374.93,17.09,3243.1504,2755.449951
"2018-11-07",7.35,19,17.26,376.97,17.26,3221.9101,2813.889893
"2018-11-08",7.32,18.88,17.29,375.17,16.97,3212.7737,2806.830078
"2018-11-09",7.2,18.51,16.79,364.47,16.5,3167.4442,2781.01001
"2018-11-12",7.28,17.91,16.73,362.26,16.35,3205.1407,2726.219971
"2018-11-13",7.32,18,16.86,366.63,16.84,3237.3823,2722.179932
"2018-11-14",7.24,17.92,16.88,369.23,16.84,3204.9427,2701.580078
"2018-11-15",7.34,18.38,17.12,371.66,17.07,3242.3715,2730.199951
"2018-11-16",7.37,18.23,17.2,372.09,17.05,3257.6735,2736.27002
"2018-11-19",7.45,17.36,17.2,370.11,17.01,3294.6031,2690.72998
"2018-11-20",7.26,17.21,16.84,361.08,16.59,3218.4076,2641.889893
"2018-11-21",7.29,17.46,16.99,368.01,16.89,3226.4918,2649.929932
"2018-11-22",7.25,17.46,16.93,366.95,16.8,3214.4273,2641.2449955
"2018-11-23",7.1,17.42,16.8,364.41,16.69,3143.4752,2632.560059
"2018-11-26",7.09,17.92,17.05,371.45,17,3141.2434,2673.449951
"2018-11-27",7.08,17.86,17.04,369.29,16.96,3137.2413,2682.169922
"2018-11-28",7.19,18.56,17.29,375.55,17.1,3178.9326,2743.790039
"2018-11-29",7.11,18.5,17.21,373.53,17.02,3137.6542,2737.800049
"2018-11-30",7.18,18.82,17.28,375.88,17.12,3172.69,2760.169922
"2018-12-03",7.49,19.19,17.83,384.73,17.67,3260.9502,2790.370117
"2018-12-04",7.56,18.44,17.86,385.43,17.64,3267.7095,2700.060059
"2018-12-05",7.49,18.45,17.58,382.05,17.46,3252.0041,2698.005005
"2018-12-06",7.29,18.58,17.07,370.19,16.87,3181.673,2695.949951
"2018-12-07",7.28,18,17.14,372.63,16.95,3181.5646,2633.080078
"2018-12-10",7.19,18.17,16.84,365.39,16.56,3144.7631,2637.719971
"2018-12-11",7.24,18.18,16.92,370.35,16.88,3159.8158,2636.780029
"2018-12-12",7.31,18.41,17.11,374.38,17.14,3170.6092,2651.070068
"2018-12-13",7.45,18.34,17.29,376.06,17.13,3219.6924,2650.540039
"2018-12-14",7.27,17.95,16.98,371.4,16.89,3165.9109,2599.949951
"2018-12-17",7.25,17.4,16.86,365.26,16.77,3161.1966,2545.939941
"2018-12-18",7.17,17.55,16.62,363.52,16.56,3128.4265,2546.159912
"2018-12-19",7.1,17.24,16.59,360.2,16.57,3091.1255,2506.959961
"2018-12-20",7.06,16.89,16.36,356.15,16.24,3067.4169,2467.419922
"2018-12-21",6.96,16.38,16.29,354.63,16.24,3029.3951,2416.620117
"2018-12-24",6.97,16.08,16.225,350.12,16.08,3038.1981,2351.100098
"2018-12-26",6.975,17.06,16.1925,350.965,16.03,3002.0327,2467.699951
"2018-12-27",6.98,17.24,16.16,351.81,16.13,2990.5057,2488.830078
"2018-12-28",7,17.26,16.29,355.94,16.31,3010.6536,2485.73999
"2018-12-31",7.01,17.39,16.46,357.05,16.41,2990.09445,2506.850098
"2019-01-02",6.89,17.35,16.04,351.53,16.2,2969.5353,2510.030029
"2019-01-03",6.8,16.67,15.97,346.35,15.89,2964.8421,2447.889893
"2019-01-04",6.95,17.46,16.3,355.63,16.4,3035.8741,2531.939941
"2019-01-07",7.04,17.81,16.5,358.16,16.48,3054.303,2549.689941
"2019-01-08",7.04,17.99,16.59,361.52,16.46,3047.7035,2574.409912
"2019-01-09",7.12,18.23,16.97,369.87,16.92,3078.4759,2584.959961
"2019-01-10",7.15,18.34,16.94,369.86,16.99,3072.6864,2596.639893
"2019-01-11",7.23,18.34,17.04,370.38,16.95,3094.7782,2596.26001
"2019-01-14",7.12,18.13,16.79,367.26,16.77,3067.7845,2582.610107
"2019-01-15",7.29,18.4,17.19,374.53,17.12,3127.9904,2610.300049
"2019-01-16",7.3,18.43,17.29,377.95,17.3,3128.6517,2616.100098
"2019-01-17",7.25,18.58,17.31,376.68,17.26,3111.4168,2635.959961
"2019-01-18",7.39,18.89,17.57,380.71,17.59,3168.1739,2670.709961
"2019-01-21",7.43,18.9,17.59,379.74,17.52,3185.6364,2651.8049315
"2019-01-22",7.32,18.52,17.4,375.16,17.28,3143.3171,2632.899902
"2019-01-23",7.37,18.5,17.44,376.53,17.28,3141.0532,2638.699951
"2019-01-24",7.4,18.83,17.54,377.32,17.41,3158.7817,2642.330078
"2019-01-25",7.52,19.19,17.89,384.8,17.75,3184.4696,2664.76001
"2019-01-28",7.56,18.95,17.78,382.05,17.62,3183.7777,2643.850098
"2019-01-29",7.6,18.71,17.77,384.1,17.59,3193.9698,2640
"2019-01-30",7.54,19.21,17.86,387.29,17.69,3168.4829,2681.050049
"2019-01-31",7.64,19.53,18.11,391.36,18.01,3201.6331,2704.100098
"2019-02-01",7.75,19.63,18.25,390.55,18.08,3247.3971,2706.530029
"2019-02-04",7.79,19.83,18.2,392.24,18.13,3276.9348,2724.870117
"2019-02-05",7.81,20,18.175,391.05,18.32,3291.70365,2737.699951
"2019-02-06",7.82,20.03,18.1625,390.455,18.27,3299.088075,2731.610107
"2019-02-07",7.825,19.82,18.15625,390.1575,18.01,3302.7802875,2706.050049
"2019-02-08",7.8275,20.02,18.15,389.86,18.05,3304.62639375,2707.879883
"2019-02-11",7.83,20.09,18.29,394.02,18.3,3306.4725,2709.800049
"2019-02-12",7.9,20.39,18.39,394.46,18.38,3330.3353,2744.72998
"2019-02-13",8.03,20.36,18.59,398.42,18.54,3397.0276,2753.030029
"2019-02-14",8.04,20.39,18.48,396.32,18.4,3402.1403,2745.72998
"2019-02-15",7.87,20.45,18.16,392.04,18.26,3338.7047,2775.600098
"2019-02-18",8.15,20.46,18.47,395.48,18.4,3445.7448,2777.680054
"2019-02-19",8.11,20.49,18.51,395.3,18.41,3439.6078,2779.76001
"2019-02-20",8.21,20.49,18.78,399.45,18.68,3451.9273,2784.699951
"2019-02-21",8.19,20.43,18.75,398.44,18.56,3442.7056,2774.879883
"2019-02-22",8.4,20.68,18.97,405.86,18.93,3520.1182,2792.669922
"2019-02-25",8.88,20.79,19.43,414.25,19.25,3729.4831,2796.110107
"2019-02-26",8.72,20.77,19.23,411.08,19.12,3684.6935,2793.899902
"2019-02-27",8.66,20.83,19.17,409.06,19.03,3678.3921,2792.379883
"2019-02-28",8.67,20.79,19.12,408.52,18.99,3669.3703,2784.48999
"2019-03-01",8.85,20.98,19.31,413.94,19.18,3749.7143,2803.689941
"2019-03-04",9.01,20.77,19.47,417.77,19.18,3794.104,2792.810059
"2019-03-05",9.05,20.74,19.6,418.1,19.46,3816.0132,2789.649902
"2019-03-06",9.1,20.57,19.72,418.49,19.46,3848.0903,2771.449951
"2019-03-07",8.93,20.4,19.31,408.11,19,3808.8497,2748.929932
"2019-03-08",8.65,20.39,18.72,397.92,18.67,3657.579,2743.070068
"2019-03-11",8.86,20.84,19.13,409.16,19.11,3729.9546,2783.300049
"2019-03-12",8.96,20.94,19.37,412.85,19.17,3755.3519,2791.52002
"2019-03-13",8.89,21.03,19.3,409.8,19.18,3724.1941,2810.919922
