"","LU1997245177","LU0109392836","LU0359201612","LU0823426308","LU0594300179"
"2014-06-11",3.67,9.87,12.69,313.03,13.34
"2014-06-12",3.67,9.8,12.68,312.76001,13.36
"2014-06-13",3.72,9.86,12.8,315.10001,13.4
"2014-06-16",3.72,9.89,12.82,314.72,13.37
"2014-06-17",3.68,9.94,12.76,313.23001,13.3
"2014-06-18",3.65,10,12.74,312.82001,13.3
"2014-06-19",3.59,9.99,12.73,312.10001,13.29
"2014-06-20",3.62,9.99,12.75,313.09,13.31
"2014-06-23",,10.01,,,13.14
"2014-06-24",3.63,9.92,12.59,309.48999,13.26
"2014-06-25",3.61,9.97,12.58,310.85001,13.23
"2014-06-26",3.64,9.96,12.77,313.84,13.39
"2014-06-27",3.66,10,12.75,314.17001,13.41
"2014-06-30",3.7,10.05,12.77,316.10001,13.51
"2014-07-01",,10.15,12.77,,13.56
"2014-07-02",3.67,10.13,12.99,322.20001,13.74
"2014-07-03",3.7,10.2,13.07,325.29999,13.81
"2014-07-04",3.7,10.2,13.1,326.57999,13.83
"2014-07-07",3.69,10.08,13.12,327.07001,13.81
"2014-07-08",3.7,9.87,13.13,324.5,13.72
"2014-07-09",3.64,9.94,12.93,320.92001,13.65
"2014-07-10",3.62,9.88,12.99,318.78,13.61
"2014-07-11",3.65,9.92,12.97,320.32001,13.64
"2014-07-14",3.69,9.98,13.07,322.56,13.79
"2014-07-15",3.69,9.93,13.14,323.23001,13.83
"2014-07-16",3.68,9.95,13.16,323.35001,13.85
"2014-07-17",3.66,9.78,13.13,320.76001,13.78
"2014-07-18",3.69,9.96,13.09,320.09,13.78
"2014-07-21",3.7,9.96,13.03,319.39999,13.75
"2014-07-22",3.74,10.04,13.3,325.89999,14.01
"2014-07-23",3.74,9.95,13.48,328.26001,14.08
"2014-07-24",3.81,10.01,13.6,331.10001,14.18
"2014-07-25",3.84,9.88,13.59,331.59,14.15
"2014-07-28",3.93,9.88,13.73,334.67999,14.32
"2014-07-29",3.94,9.85,13.77,336.23999,14.37
"2014-07-30",3.93,9.99,13.74,335.64999,14.33
"2014-07-31",3.97,9.77,13.74,333.73001,14.26
"2014-08-01",3.93,9.77,13.58,330.07999,14.18
"2014-08-04",4.01,9.86,13.73,333.59,14.31
"2014-08-05",4.01,9.8,13.72,332.39999,14.25
"2014-08-06",3.98,9.79,13.67,332.54999,14.21
"2014-08-07",3.94,9.78,13.54,329.47,14.05
"2014-08-08",3.94,9.86,13.54,329.53,14.09
"2014-08-11",3.99,9.94,13.85,333.79001,14.24
"2014-08-12",3.98,9.89,13.77,334.17999,14.2
"2014-08-13",3.98,9.99,13.91,338.51001,14.4
"2014-08-14",3.96,10.03,13.81,336.23999,14.39
"2014-08-15",,10.05,,,14.32
"2014-08-18",4.03,10.15,13.93,335.45001,14.4
"2014-08-19",4.02,10.19,13.95,336.53,14.47
"2014-08-20",3.99,10.2,13.9,336.85001,14.5
"2014-08-21",3.97,10.24,13.8,334.67999,14.38
"2014-08-22",3.99,10.28,13.89,335.35001,14.43
"2014-08-25",3.95,10.26,13.96,334.94,14.43
"2014-08-26",3.93,10.3,13.94,334.14999,14.41
"2014-08-27",3.93,10.27,13.9,331.64999,14.36
"2014-08-28",3.89,10.24,13.8,326.48999,14.21
"2014-08-29",3.93,10.32,13.88,327.13,14.2
"2014-09-01",3.96,10.32,13.89,328.67001,14.21
"2014-09-02",4,10.37,13.92,329.38,14.19
"2014-09-03",4.04,10.33,14.3,336.51999,14.43
"2014-09-04",4.08,10.31,14.37,337.92001,14.53
"2014-09-05",4.11,10.37,14.35,335.84,14.47
"2014-09-08",,10.41,14.37,337.5,14.47
"2014-09-09",,10.31,14.36,,14.43
"2014-09-10",4.09,10.39,14.05,330.48001,14.19
"2014-09-11",4.07,10.43,14,329.95001,14.18
"2014-09-12",4.08,10.35,13.98,328.22,14.17
"2014-09-15",4.05,10.2,13.82,325.16,14.01
"2014-09-16",3.98,10.3,13.62,321.41,13.93
"2014-09-17",3.99,10.32,13.81,324.94,13.91
"2014-09-18",4.01,10.41,13.71,324.45999,13.89
"2014-09-19",4.03,10.34,13.74,324.73999,13.94
"2014-09-22",3.96,10.21,13.55,319.10999,13.73
"2014-09-23",3.99,10.17,13.5,317.98999,13.66
"2014-09-24",4.05,10.26,13.66,320.09,13.76
"2014-09-25",4.03,10.06,13.58,317.84,13.57
"2014-09-26",4.04,10.16,13.5,316.5,13.6
"2014-09-29",4.03,10.15,13.33,309.14999,13.37
"2014-09-30",4.04,10.11,,307.70999,13.3
"2014-10-01",,9.95,,,13.2
"2014-10-02",,9.98,,,13.04
"2014-10-03",,10.1,13.18,311.48999,13.38
"2014-10-06",,10.04,13.42,315.45999,13.49
"2014-10-07",,9.85,13.45,316.32001,13.51
"2014-10-08",4.08,10.03,13.37,314.67001,13.46
"2014-10-09",4.08,9.84,13.48,315.39002,13.54
"2014-10-10",4.06,9.48,13.23,309.5,13.29
"2014-10-13",4.03,9.33,13.19,308.29999,13.31
"2014-10-14",4.01,9.4,13.12,306.29999,13.26
"2014-10-15",4.05,9.45,13.19,304.81,13.14
"2014-10-16",4.03,9.5,13.06,305.31,13.21
"2014-10-17",4.05,9.6,13.15,309.60001,13.31
"2014-10-20",4.05,9.68,13.23,309.98999,13.35
"2014-10-21",4.02,9.9,13.21,311.75,13.44
"2014-10-22",4.01,9.77,13.38,313.07999,13.49
"2014-10-23",3.98,9.94,13.31,311.91,13.52
"2014-10-24",3.98,9.98,13.31,312,13.48
"2014-10-27",3.94,9.97,13.19,308.54999,13.28
"2014-10-28",4,10.13,13.44,315.60999,13.61
"2014-10-29",4.06,10.08,13.64,319.42999,13.8
"2014-10-30",4.06,10.17,13.55,318.23001,13.8
"2014-10-31",4.11,10.34,13.72,322.62,14.01
"2014-11-03",4.11,10.35,13.69,321.69,13.93
"2014-11-04",4.09,10.33,13.7,321.41,13.87
"2014-11-05",4.06,10.35,13.6,319.53,13.86
"2014-11-06",4.07,10.39,13.58,319.54001,13.78
"2014-11-07",4.09,10.4,13.53,317.87,13.74
"2014-11-10",4.18,10.46,13.67,321.42999,13.89
"2014-11-11",4.17,10.46,13.69,321.34,13.9
"2014-11-12",4.24,10.49,13.77,322.42001,13.93
"2014-11-13",4.21,10.47,13.8,323.48001,14.03
"2014-11-14",4.22,10.53,13.83,326.14002,14.13
"2014-11-17",4.2,10.47,13.58,320.75,13.92
"2014-11-18",4.15,10.53,13.41,317.23999,13.76
"2014-11-19",4.13,10.45,13.34,315.60999,13.72
"2014-11-20",4.13,10.48,13.35,315.35999,13.71
"2014-11-21",4.21,10.54,13.48,321.67999,13.89
"2014-11-24",4.29,10.61,13.88,326.45999,14.06
"2014-11-25",4.34,10.63,13.81,326.51999,14.03
"2014-11-26",4.4,10.72,14.02,330.75,14.26
"2014-11-27",4.45,10.72,13.97,330.28,14.2
"2014-11-28",4.5,10.71,14.05,329.19,14.2
"2014-12-01",4.52,10.57,13.72,320.16,13.83
"2014-12-02",4.69,10.59,14.06,323.60999,13.98
"2014-12-03",4.76,10.68,13.96,322.47,13.89
"2014-12-04",4.96,10.69,14.39,327.73999,14.01
"2014-12-05",5.01,10.73,14.45,328.64999,14.1
"2014-12-08",5.22,10.59,14.71,329.45999,14.06
"2014-12-09",5.07,10.64,14.12,318.98001,13.71
"2014-12-10",5.27,10.45,14.28,321.51999,13.79
"2014-12-11",5.17,10.49,14.14,322.14002,13.78
"2014-12-12",5.17,10.39,14.13,321.41,13.66
"2014-12-15",5.2,10.33,14.05,320.85999,13.53
"2014-12-16",5.36,10.22,13.93,315.88,13.64
