"","LU0093503810","IE00B11XZ988","LU1003076939","LU0006061385","LU0294219869"
"602",15.87,25.26,9.02,27.91,19.76
"603",15.87,25.24,9.02,27.91,19.83
"604",15.88,25.33,9.02,27.91,19.86
"605",15.87,25.35,9.02,27.97,19.62
"606",15.88,25.37,9.03,28.02,19.49
"607",15.88,25.3,9.03,28.02,19.38
"608",15.88,25.35,9.02,28.08,19.17
"609",15.88,25.35,9.02,28.05,19.08
"610",15.875,25.39,9.015,28.08,19.16
"611",15.87,25.35,9.01,28.11,19.19
"612",15.88,25.37,9.01,28.11,19.15
"613",15.87,25.4,9.01,28.11,19.34
"614",15.87,25.42,9.01,28.11,19.27
"615",15.87,25.4,9.02,28.11,19.38
"616",15.87,25.47,9.02,28.11,19.3
"617",15.875,25.41,9.02,28.115,19.31
"618",15.88,25.43,9.02,28.12,19.35
"619",15.88,25.29,9.02,28.07,19.35
"620",15.87,25.34,9.01,28.04,19.3
"621",15.87,25.35,9,28.04,19.36
"622",15.87,25.36,9.01,28.06,19.19
"623",15.88,25.36,9.01,28.06,19.29
"624",15.88,25.37,9.02,28.08,19.33
"625",15.88,25.42,9.02,28.11,19.3
"626",15.88,25.42,9.02,28.13,19.42
"627",15.88,25.425,9.03,28.09,19.41
"628",15.88,25.43,9.03,28.09,19.34
"629",15.88,25.4,9.01,28.14,19.19
"630",15.88,25.44,9.01,28.14,19.14
"631",15.88,25.49,9.01,28.23,18.92
"632",15.88,25.48,9.02,28.24,19.1
"633",15.88,25.51,9.03,28.28,19.22
"634",15.88,25.53,9.04,28.3,19.31
"635",15.88,25.56,9.05,28.37,19.3
"636",15.87,25.59,9.04,28.4,19.16
"637",15.87,25.56,9.03,28.39,18.92
"638",15.86,25.51,9.02,28.41,18.94
"639",15.86,25.55,9.01,28.41,18.9
"640",15.86,25.53,9.01,28.49,18.77
"641",15.86,25.51,9.02,28.4,18.82
"642",15.86,25.5,9.04,28.37,18.9
"643",15.86,25.48,9.04,28.38,19.09
"644",15.86,25.49,9.04,28.35,19.08
"645",15.86,25.48,9.02,28.415,19.25
"646",15.86,25.52,9,28.48,18.81
"647",15.86,25.62,9.02,28.61,18.75
"648",15.87,25.63,9.02,28.66,19
"649",15.88,25.67,9.04,28.71,19.26
"650",15.88,25.69,9.05,28.69,19.36
"651",15.89,25.8,9.08,28.8,19.27
"652",15.89,25.86,9.09,28.8,19.2
"653",15.89,25.92,9.07,28.85,19.01
"654",15.89,25.92,9.1,28.9,18.89
"655",15.89,25.92,9.1,28.85,18.86
"656",15.89,25.97,9.1,28.88,18.99
"657",15.89,25.92,9.12,28.9,19.29
"658",15.89,25.85,9.13,28.81,19.55
"659",15.9,25.9,9.13,28.84,19.47
"660",15.9,25.83,9.14,28.76,19.63
"661",15.9,25.78,9.14,28.71,19.64
"662",15.9,25.78,9.13,28.71,19.75
"663",15.9,25.83,9.13,28.71,19.72
"664",15.9,25.82,9.13,28.69,19.78
"665",15.9,25.84,9.14,28.65,19.65
"666",15.9,25.86,9.14,28.68,19.75
"667",15.9,25.85,9.15,28.73,19.58
"668",15.9,25.85,9.14,28.73,19.47
"669",15.9,25.92,9.14,28.78,19.42
"670",15.9,25.92,9.15,28.81,19.41
"671",15.9,25.96,9.14,28.82,19.17
"672",15.91,25.9,9.16,28.81,19.19
"673",15.9,25.82,9.15,28.69,19.01
"674",15.9,25.83,9.14,28.7,19.1
"675",15.9,25.92,9.15,28.76,19.16
"676",15.91,25.86,9.17,28.76,19.38
"677",15.92,25.87,9.18,28.72,19.49
"678",15.92,25.91,9.18,28.78,19.48
"679",15.92,25.95,9.19,28.88,19.43
"680",15.92,25.86,9.19,28.91,19.57
"681",15.92,25.92,9.19,28.92,19.39
"682",15.92,25.87,9.2,28.88,19.45
"683",15.92,25.82,9.21,28.84,19.32
"684",15.91,25.88,9.2,28.81,19.23
"685",15.91,25.92,9.2,28.84,19.11
"686",15.91,25.89,9.21,28.82,19.15
"687",15.91,25.93,9.2,28.83,19.09
"688",15.91,25.92,9.2,28.87,18.99
"689",15.91,25.92,9.2,28.86,19.05
"690",15.91,25.92,9.2,28.83,19.13
"691",15.91,25.84,9.19,28.83,19.23
"692",15.91,25.93,9.18,28.8,19.19
"693",15.91,25.93,9.19,28.84,19.27
"694",15.91,25.94,9.19,28.83,19.28
"695",15.91,25.94,9.19,28.75,19.23
"696",15.91,25.92,9.19,28.73,19.42
"697",15.92,25.945,9.19,28.74,19.41
"698",15.92,25.97,9.2,28.78,19.37
"699",15.92,25.98,9.2,28.88,19.37
"700",15.92,25.89,9.21,28.82,19.38
"701",15.92,25.82,9.21,28.63,19.27
"702",15.92,25.82,9.19,28.58,19.19
"703",15.92,25.74,9.19,28.58,19.12
"704",15.92,25.78,9.17,28.52,19.02
"705",15.92,25.76,9.17,28.51,19.01
"706",15.92,25.78,9.17,28.53,19.06
"707",15.92,25.78,9.17,28.53,18.99
"708",15.92,25.8,9.17,28.61,18.97
"709",15.92,25.85,9.17,28.58,18.93
"710",15.92,25.9,9.19,28.7,18.99
"711",15.92,25.95,9.2,28.73,18.93
"712",15.92,25.97,9.2,28.76,18.79
"713",15.92,25.99,9.19,28.8,18.96
"714",15.92,25.98,9.2,28.84,19.01
"715",15.93,25.99,9.21,28.81,18.98
"716",15.93,25.96,9.21,28.83,19.03
"717",15.93,25.97,9.21,28.77,19.16
"718",15.93,25.88,9.21,28.73,19.23
"719",15.93,25.86,9.22,28.63,19.38
"720",15.92,25.83,9.22,28.57,19.46
"721",15.92,25.82,9.22,28.55,19.31
"722",15.92,25.76,9.22,28.53,19.53
"723",15.92,25.81,9.23,28.5,19.59
"724",15.92,25.79,9.22,28.48,19.66
"725",15.92,25.84,9.21,28.53,19.55
"726",15.92,25.77,9.22,28.49,19.67
"727",15.92,25.83,9.23,28.48,19.6
"728",15.93,25.84,9.22,28.49,19.72
"729",15.93,25.85,9.22,28.54,19.74
"730",15.93,25.87,9.22,28.55,19.85
"731",15.94,25.89,9.23,28.58,19.86
"732",15.93,25.86,9.23,28.58,20
"733",15.93,25.88,9.23,28.55,20
"734",15.92,25.86,9.23,28.51,19.93
"735",15.92,25.81,9.23,28.41,19.95
"736",15.91,25.8,9.22,28.37,19.76
"737",15.91,25.83,9.21,28.39,19.81
"738",15.905,25.84,9.2,28.41,19.56
"739",15.9,25.85,9.19,28.43,19.4
"740",15.9,25.82,9.19,28.41,19.39
"741",15.9,25.84,9.19,28.44,19.38
"742",15.91,25.84,9.2,28.41,19.72
"743",15.91,25.81,9.2,28.42,19.97
"744",15.91,25.58,9.23,28.33,19.72
"745",15.9,25.53,9.24,28.12,19.36
"746",15.9,25.39,9.22,28.03,19.16
"747",15.89,25.36,9.21,27.87,19.38
"748",15.89,25.36,9.19,27.95,19.53
"749",15.88,25.4,9.19,27.9,19.58
"750",15.89,25.34,9.2,27.89,19.67
"751",15.88,25.29,9.2,27.87,19.73
"752",15.88,25.27,9.2,27.82,19.78
"753",15.89,25.28,9.2,27.86,19.75
"754",15.89,25.21,9.21,27.79,19.83
"755",15.89,25.2,9.2,27.8,19.83
"756",15.89,25.19,9.2,27.81,19.76
"757",15.89,25.27,9.2,27.84,19.71
"758",15.89,25.29,9.19,27.87,19.69
"759",15.9,25.26,9.21,27.86,19.99
"760",15.9,25.15,9.22,27.77,19.82
"761",15.89,25.21,9.2,27.82,19.78
"762",15.9,25.24,9.21,27.78,19.87
"763",15.9,25.25,9.21,27.83,20.05
"764",15.91,25.32,9.22,27.87,20.07
"765",15.92,25.29,9.25,27.83,20.28
"766",15.93,25.22,9.26,27.78,20.42
"767",15.93,25.23,9.25,27.68,20.41
"768",15.93,25.22,9.25,27.74,20.43
"769",15.93,25.14,9.25,27.82,20.58
"770",15.93,25.07,9.26,27.72,20.75
"771",15.93,25.04,9.24,27.74,20.66
"772",15.93,25.14,9.24,27.78,20.69
"773",15.93,25.13,9.25,27.8,20.75
"774",15.93,25.16,9.25,27.83,20.73
"775",15.93,25.19,9.26,27.83,20.74
"776",15.93,25.21,9.26,27.85,20.78
"777",15.93,25.235,9.265,27.85,20.77
"778",15.93,25.2475,9.27,27.85,20.76
"779",15.94,25.26,9.26,27.86,20.74
"780",15.94,25.3,9.26,27.93,20.65
"781",15.94,25.36,9.27,27.93,20.62
"782",15.94,25.36,9.27,27.96,20.72
"783",15.95,25.36,9.29,27.88,20.68
"784",15.94,25.34,9.29,27.87,20.55
"785",15.94,25.46,9.29,27.85,20.44
"786",15.93,25.42,9.29,27.88,20.67
"787",15.94,25.49,9.29,27.89,20.54
"788",15.94,25.48,9.29,27.9,20.42
"789",15.94,25.51,9.29,27.91,20.34
"790",15.94,25.49,9.29,27.95,20.36
"791",15.95,25.49,9.31,27.89,20.38
"792",15.94,25.515,9.3,27.91,20.32
"793",15.95,25.54,9.29,27.97,20.19
"794",15.95,25.45,9.3,27.93,20.3
"795",15.95,25.42,9.31,27.83,20.33
"796",15.95,25.44,9.31,27.79,20.41
"797",15.95,25.52,9.29,27.84,20.33
"798",15.95,25.42,9.3,27.88,20.39
"799",15.95,25.39,9.32,27.78,20.48
"800",15.94,25.45,9.32,27.73,20.56
"801",15.94,25.51,9.33,27.73,20.7
"802",15.93,25.51,9.32,27.72,20.66
"803",15.93,25.52,9.31,27.75,20.45
"804",15.93,25.51,9.33,27.71,20.59
"805",15.93,25.49,9.32,27.76,20.65
"806",15.94,25.47,9.33,27.75,20.71
"807",15.93,25.61,9.33,27.72,20.6
"808",15.93,25.64,9.34,27.73,20.68
"809",15.92,25.66,9.32,27.81,20.65
"810",15.94,25.6,9.33,27.85,20.83
"811",15.93,25.6,9.34,27.79,20.91
"812",15.94,25.58,9.35,27.8,21.01
"813",15.94,25.51,9.35,27.79,21.14
"814",15.94,25.46,9.37,27.76,21.14
"815",15.94,25.53,9.37,27.79,20.93
"816",15.93,25.6,9.35,27.83,20.89
"817",15.93,25.61,9.36,27.81,20.94
"818",15.92,25.62,9.37,27.79,21.14
"819",15.91,25.62,9.37,27.83,21.13
"820",15.92,25.64,9.37,27.88,21.18
"821",15.92,25.74,9.36,27.93,21.03
"822",15.93,25.66,9.38,27.98,21.07
"823",15.93,25.67,9.37,27.99,21
"824",15.94,25.53,9.41,27.94,21.23
"825",15.95,25.51,9.41,27.89,21.22
"826",15.95,25.52,9.4,27.9,21.24
"827",15.94,25.51,9.4,27.9,21.25
"828",15.94,25.48,9.39,27.89,21.33
"829",15.94,25.42,9.4,27.82,21.27
"830",15.94,25.36,9.39,27.79,21.2
"831",15.93,25.39,9.38,27.75,21.24
"832",15.93,25.35,9.38,27.75,21.31
"833",15.93,25.36,9.37,27.74,21.27
"834",15.94,25.51,9.37,27.77,21.22
"835",15.93,25.47,9.38,27.82,21.25
"836",15.93,25.52,9.38,27.84,21.28
"837",15.93,25.55,9.38,27.83,21.32
"838",15.93,25.61,9.37,27.88,21.15
"839",15.94,25.64,9.36,27.95,21.11
"840",15.94,25.62,9.37,27.96,21.12
"841",15.94,25.65,9.37,27.95,21.24
"842",15.94,25.65,9.36,28,21.08
"843",15.94,25.59,9.36,28.01,21.12
"844",15.95,25.64,9.37,28.01,21.26
"845",15.94,25.61,9.38,28.02,21.41
"846",15.94,25.66,9.38,28,21.39
"847",15.94,25.73,9.38,28.01,21.38
"848",15.94,25.73,9.37,28.07,21.4
"849",15.95,25.72,9.38,28.05,21.36
"850",15.95,25.74,9.37,28.08,21.38
"851",15.95,25.7,9.36,28.12,21.52
"852",15.95,25.73,9.37,28.08,21.51
"853",15.94,25.83,9.37,28.1,21.34
"854",15.94,25.83,9.37,28.13,21.31
"855",15.94,25.94,9.36,28.17,21.33
"856",15.94,25.915,9.36,28.18,21.36
"857",15.94,25.89,9.36,28.185,21.39
"858",15.94,26.01,9.36,28.19,21.21
"859",15.94,25.96,9.38,28.22,21.16
"860",15.94,25.9,9.38,28.19,21.21
"861",15.94,25.91,9.37,28.2,21.18
"862",15.95,25.83,9.39,28.18,21.19
"863",15.95,25.77,9.39,28.17,21.22
"864",15.96,25.81,9.4,28.13,21.1
"865",15.95,25.82,9.39,28.15,21.16
"866",15.96,25.85,9.4,28.17,21.23
"867",15.965,25.79,9.4,28.17,21.29
"868",15.97,25.83,9.4,28.17,21.31
"869",15.97,25.82,9.41,28.2,21.4
"870",15.97,25.76,9.42,28.15,21.21
"871",15.97,25.78,9.41,28.16,21.24
"872",15.97,25.75,9.42,28.14,21.27
"873",15.97,25.73,9.43,28.1,21.36
"874",15.97,25.72,9.41,28.12,21.46
"875",15.97,25.74,9.43,28.09,21.52
"876",15.97,25.81,9.42,28.14,21.48
"877",15.97,25.81,9.44,28.16,21.55
"878",15.97,25.83,9.44,28.16,21.45
"879",15.96,25.98,9.43,28.24,21.11
"880",15.97,25.95,9.41,28.28,20.64
"881",15.97,25.94,9.41,28.27,20.81
"882",15.96,25.94,9.42,28.26,20.77
"883",15.96,25.92,9.42,28.28,20.93
"884",15.97,25.96,9.43,28.26,20.93
"885",15.97,25.97,9.43,28.29,20.98
"886",15.97,25.98,9.43,28.32,21.02
"887",15.97,26,9.43,28.32,21.02
"888",15.97,26.02,9.43,28.33,20.88
"889",15.97,26.06,9.44,28.35,20.91
"890",15.97,26.04,9.45,28.32,21.01
"891",15.96,26.12,9.45,28.36,20.83
"892",15.965,26.09,9.455,28.38,20.95
"893",15.97,26.12,9.46,28.4,20.87
"894",15.97,26.09,9.47,28.41,20.93
"895",15.97,26.07,9.46,28.36,21.02
"896",15.98,26.05,9.47,28.38,21.07
"897",15.98,26.02,9.45,28.38,21.02
"898",15.98,26.05,9.45,28.36,21.07
"899",15.98,26.14,9.46,28.44,21.06
"900",15.98,26.12,9.47,28.42,21.17
"901",15.98,26.14,9.46,28.42,21.13
"902",15.98,26.11,9.47,28.42,21.24
"903",15.98,26.18,9.46,28.43,21.1
"904",15.98,26.17,9.46,28.44,21.02
"905",15.98,26.18,9.46,28.48,21.06
"906",15.985,26.2,9.465,28.505,21.07
"907",15.99,26.23,9.47,28.53,21.2
"908",15.98,26.16,9.48,28.48,21.07
"909",15.98,26.17,9.47,28.44,21.12
"910",15.98,26.14,9.47,28.41,21
"911",15.97,26.09,9.47,28.35,21.01
"912",15.97,26.02,9.47,28.33,21.11
"913",15.97,26.02,9.47,28.31,21.14
"914",15.98,26.05,9.47,28.29,21.07
"915",15.97,26.02,9.47,28.2,21.02
"916",15.97,25.97,9.46,28.16,21.15
"917",15.97,25.98,9.46,28.19,21.25
"918",15.97,26,9.47,28.19,21.17
"919",15.98,26.06,9.47,28.26,21.27
"920",15.98,26.04,9.49,28.29,21.32
"921",15.98,26.08,9.49,28.34,21.3
"922",15.98,26.1,9.5,28.34,21.3
"923",15.98,26.17,9.5,28.39,21.21
"924",15.99,26.18,9.5,28.41,21.22
"925",15.98,26.19,9.51,28.42,21.17
"926",15.98,26.24,9.51,28.45,21.03
"927",15.98,26.21,9.51,28.45,21.02
"928",15.98,26.11,9.52,28.41,21.05
"929",15.98,26.17,9.51,28.38,20.98
"930",15.99,26.13,9.52,28.44,21.03
"931",15.99,26.19,9.52,28.44,20.92
"932",15.99,26.2,9.53,28.44,20.84
"933",15.99,26.28,9.53,28.48,20.85
"934",15.99,26.28,9.54,28.53,20.9
"935",15.99,26.32,9.53,28.55,20.82
"936",15.99,26.26,9.54,28.54,20.93
"937",15.99,26.28,9.54,28.53,20.9
"938",15.99,26.24,9.55,28.55,20.91
"939",15.99,26.31,9.52,28.56,20.8
"940",15.99,26.35,9.51,28.58,20.65
"941",15.99,26.39,9.51,28.59,20.64
"942",15.99,26.35,9.52,28.59,20.81
"943",15.99,26.27,9.52,28.585,20.98
"944",15.99,26.35,9.52,28.58,20.94
"945",15.99,26.39,9.52,28.59,20.81
"946",15.99,26.4,9.52,28.63,20.84
"947",15.99,26.42,9.52,28.64,20.76
"948",15.99,26.37,9.53,28.63,20.9
"949",15.99,26.43,9.53,28.63,20.81
"950",15.98,26.39,9.53,28.66,20.88
"951",15.98,26.44,9.54,28.65,20.81
"952",15.98,26.45,9.54,28.67,20.68
"953",15.98,26.48,9.54,28.71,20.7
"954",15.99,26.46,9.55,28.7,20.89
"955",15.98,26.5,9.55,28.71,20.83
"956",15.98,26.44,9.56,28.71,20.93
"957",15.98,26.515,9.56,28.7,20.86
"958",15.98,26.59,9.55,28.73,20.76
"959",15.98,26.53,9.57,28.77,20.89
"960",15.97,26.6,9.56,28.77,20.76
"961",15.97,26.61,9.57,28.8,20.73
"962",15.97,26.52,9.58,28.76,20.97
"963",15.98,26.48,9.58,28.73,20.98
"964",15.98,26.46,9.58,28.69,21.09
"965",15.98,26.49,9.58,28.68,21.09
"966",15.98,26.5,9.58,28.7,21.11
"967",15.98,26.46,9.59,28.69,21.14
"968",15.99,26.46,9.59,28.69,21.08
"969",15.98,26.41,9.59,28.69,21.25
"970",15.98,26.44,9.59,28.66,21.19
"971",15.98,26.46,9.59,28.69,21.2
"972",15.98,26.52,9.59,28.7,21.13
"973",15.98,26.51,9.59,28.69,21.17
"974",15.98,26.42,9.6,28.6,21.14
"975",15.98,26.43,9.59,28.58,21.09
"976",15.99,26.41,9.61,28.59,21.15
"977",15.99,26.4,9.6,28.59,21.21
"978",15.99,26.41,9.61,28.58,21.2
"979",15.99,26.42,9.61,28.62,21.24
"980",15.99,26.39,9.61,28.61,21.24
"981",16,26.36,9.62,28.53,21.16
"982",16,26.37,9.61,28.55,21.08
"983",15.99,26.4,9.61,28.57,20.99
"984",15.99,26.4,9.62,28.58,20.97
"985",15.99,26.43,9.61,28.57,20.95
"986",15.99,26.49,9.6,28.61,20.92
"987",15.99,26.44,9.61,28.61,20.96
"988",15.99,26.45,9.6,28.58,21.01
"989",16,26.41,9.61,28.58,21.05
"990",15.99,26.42,9.6,28.62,20.97
"991",16,26.35,9.62,28.54,21.06
"992",15.99,26.36,9.62,28.56,21
"993",16,26.32,9.62,28.51,20.98
"994",15.99,26.28,9.62,28.45,21
"995",15.99,26.25,9.61,28.46,21.01
"996",15.99,26.28,9.6,28.44,21.06
"997",16,26.36,9.61,28.51,20.88
"998",16,26.36,9.61,28.53,20.98
"999",16,26.35,9.61,28.545,21.04
"1000",16,26.39,9.61,28.56,21.05
"1001",16,26.39,9.61,28.52,20.99
"1002",16,26.43,9.61,28.58,21.03
"1003",16,26.43,9.61,28.56,21
"1004",16,26.41,9.6,28.56,21.02
"1005",15.99,26.39,9.6,28.51,20.97
"1006",15.99,26.31,9.59,28.47,20.95
"1007",15.99,26.3,9.57,28.43,20.93
"1008",15.99,26.32,9.57,28.4,20.76
"1009",15.98,26.35,9.55,28.44,20.68
"1010",15.98,26.32,9.58,28.44,20.84
"1011",15.99,26.34,9.57,28.46,20.85
"1012",15.99,26.3,9.58,28.46,20.91
"1013",15.99,26.31,9.58,28.47,20.96
"1014",16,26.39,9.59,28.48,20.87
"1015",15.99,26.385,9.59,28.53,20.88
"1016",15.99,26.38,9.6,28.53,20.87
"1017",15.99,26.41,9.6,28.54,20.87
"1018",16,26.4,9.59,28.53,20.98
"1019",16,26.35,9.61,28.51,21.02
"1020",16,26.28,9.61,28.51,21
"1021",16,26.32,9.6,28.52,20.96
"1022",16,26.31,9.62,28.53,21.06
"1023",16,26.34,9.61,28.54,21.05
"1024",16,26.37,9.61,28.58,21.03
"1025",15.99,26.31,9.61,28.56,21.03
"1026",16,26.32,9.61,28.54,21.09
"1027",15.99,26.3,9.61,28.54,21.05
"1028",15.99,26.3,9.61,28.51,21
"1029",15.99,26.38,9.61,28.52,20.87
"1030",15.99,26.37,9.64,28.55,20.81
"1031",15.99,26.35,9.62,28.56,20.9
"1032",15.99,26.31,9.63,28.59,20.93
"1033",16,26.24,9.63,28.55,20.91
"1034",16,26.22,9.63,28.51,20.93
"1035",15.99,26.24,9.62,28.47,20.84
"1036",15.99,26.23,9.63,28.49,20.75
"1037",15.99,26.28,9.63,28.515,20.72
"1038",15.99,26.33,9.63,28.54,20.69
"1039",15.99,26.33,9.64,28.57,20.59
"1040",15.99,26.37,9.64,28.58,20.59
"1041",15.99,26.33,9.66,28.58,20.7
"1042",15.99,26.35,9.65,28.58,20.83
"1043",15.99,26.35,9.68,28.58,20.83
"1044",16,26.32,9.68,28.61,20.92
"1045",16,26.32,9.68,28.6,20.96
"1046",16.01,26.24,9.7,28.56,20.96
"1047",16,26.23,9.7,28.49,20.86
"1048",15.99,26.28,9.7,28.51,20.82
"1049",15.98,26.26,9.72,28.54,20.79
"1050",15.98,26.26,9.72,28.59,20.72
"1051",15.99,26.26,9.73,28.6,20.71
"1052",15.99,26.22,9.72,28.6,20.86
"1053",15.99,26.19,9.73,28.6,20.9
"1054",15.99,26.16,9.73,28.59,20.95
"1055",15.99,26.13,9.74,28.59,20.89
"1056",16,26.18,9.74,28.64,20.76
"1057",16,26.14,9.77,28.66,20.77
"1058",16,26.2,9.77,28.67,20.74
"1059",15.99,26.15,9.77,28.67,20.71
"1060",15.99,26.12,9.78,28.6,20.73
"1061",15.99,26.09,9.77,28.57,20.63
"1062",15.99,26.1,9.76,28.61,20.72
"1063",15.99,26.03,9.77,28.6,20.8
"1064",15.99,25.96,9.78,28.51,20.78
"1065",15.99,26.05,9.75,28.5,20.61
"1066",15.98,26.04,9.73,28.52,20.76
"1067",15.99,25.94,9.73,28.53,20.81
"1068",15.98,25.92,9.75,28.42,20.69
"1069",15.97,25.94,9.71,28.41,20.7
"1070",15.97,25.9,9.71,28.41,20.67
"1071",15.97,25.93,9.71,28.4,20.54
"1072",15.96,25.81,9.71,28.36,20.54
"1073",15.97,25.86,9.7,28.39,20.47
"1074",15.97,25.89,9.71,28.46,20.55
"1075",15.98,25.885,9.72,28.43,20.56
"1076",15.97,25.88,9.71,28.41,20.58
"1077",15.97,25.81,9.71,28.42,20.65
"1078",15.97,25.83,9.69,28.39,20.57
"1079",15.97,25.89,9.7,28.43,20.62
"1080",15.97,25.91,9.71,28.48,20.59
"1081",15.97,25.84,9.72,28.47,20.65
"1082",15.97,25.88,9.71,28.45,20.57
"1083",15.97,25.96,9.7,28.49,20.44
"1084",15.97,25.88,9.7,28.49,20.39
"1085",15.96,25.84,9.69,28.48,20.47
"1086",15.97,25.86,9.7,28.47,20.43
"1087",15.97,25.85,9.71,28.49,20.39
"1088",15.97,25.87,9.7,28.5,20.47
"1089",15.97,25.87,9.7,28.48,20.54
"1090",15.97,25.89,9.7,28.5,20.49
"1091",15.98,25.92,9.7,28.51,20.48
"1092",15.97,25.93,9.71,28.53,20.45
"1093",15.97,25.91,9.69,28.56,20.46
"1094",15.97,25.88,9.69,28.56,20.51
"1095",15.97,25.87,9.68,28.56,20.45
"1096",15.96,25.82,9.68,28.55,20.56
"1097",15.96,25.8,9.68,28.54,20.54
"1098",15.96,25.87,9.66,28.63,20.44
"1099",15.96,25.87,9.67,28.61,20.37
"1100",15.96,25.87,9.68,28.63,20.45
"1101",15.96,25.93,9.66,28.65,20.45
"1102",15.96,25.93,9.66,28.68,20.65
"1103",15.96,25.97,9.66,28.69,20.67
"1104",15.965,25.975,9.665,28.695,20.64
"1105",15.9675,25.98,9.6675,28.6975,20.61
"1106",15.97,25.92,9.67,28.7,20.71
"1107",15.97,25.92,9.66,28.7,20.76
"1108",15.97,25.9,9.67,28.67,20.87
"1109",15.97,25.97,9.66,28.67,20.7
"1110",15.97,25.96,9.67,28.66,20.59
"1111",15.97,25.96,9.67,28.65,20.63
"1112",15.97,25.97,9.66,28.67,20.63
"1113",15.97,25.91,9.67,28.65,20.7
"1114",15.97,25.92,9.66,28.64,20.71
"1115",15.97,25.93,9.67,28.64,20.67
"1116",15.97,25.95,9.65,28.66,20.66
"1117",15.98,25.87,9.67,28.67,20.71
"1118",15.97,25.82,9.67,28.6,20.66
"1119",15.97,25.75,9.66,28.53,20.69
"1120",15.97,25.71,9.65,28.48,20.67
"1121",15.97,25.69,9.65,28.47,20.7
"1122",15.97,25.63,9.64,28.44,20.76
"1123",15.97,25.67,9.63,28.47,20.79
"1124",15.96,25.71,9.63,28.48,20.8
"1125",15.97,25.73,9.63,28.48,20.82
"1126",15.965,25.65,9.625,28.46,20.88
"1127",15.96,25.67,9.62,28.44,20.82
"1128",15.96,25.68,9.62,28.46,20.65
"1129",15.96,25.7,9.61,28.45,20.63
"1130",15.96,25.69,9.61,28.45,20.56
"1131",15.95,25.65,9.61,28.39,20.54
"1132",15.95,25.62,9.59,28.36,20.53
"1133",15.95,25.68,9.6,28.4,20.53
"1134",15.95,25.7,9.61,28.44,20.44
"1135",15.94,25.68,9.62,28.4,20.36
"1136",15.94,25.54,9.62,28.31,20.5
"1137",15.94,25.54,9.61,28.3,20.53
"1138",15.94,25.53,9.61,28.27,20.52
"1139",15.93,25.59,9.6,28.24,20.37
"1140",15.925,25.6,9.605,28.255,20.43
"1141",15.92,25.6,9.61,28.27,20.5
"1142",15.92,25.66,9.6,28.3,20.48
"1143",15.92,25.69,9.6,28.38,20.39
"1144",15.91,25.73,9.6,28.4,20.45
"1145",15.9,25.815,9.61,28.42,20.46
"1146",15.86,25.9,9.61,28.41,20.3
"1147",15.86,25.8,9.61,28.44,20.26
"1148",15.87,25.8,9.61,28.46,20.25
"1149",15.88,25.74,9.61,28.42,20.34
"1150",15.89,25.7,9.6,28.42,20.34
"1151",15.89,25.71,9.6,28.41,20.18
"1152",15.88,25.66,9.6,28.33,20.21
"1153",15.87,25.69,9.6,28.31,19.99
"1154",15.86,25.67,9.6,28.34,20.19
"1155",15.88,25.66,9.6,28.33,20.13
"1156",15.88,25.67,9.6,28.31,20.18
"1157",15.88,25.63,9.6,28.35,20.12
"1158",15.88,25.64,9.6,28.38,20.11
"1159",15.89,25.66,9.6,28.43,20.15
"1160",15.9,25.66,9.6,28.42,20.2
"1161",15.89,25.69,9.59,28.43,20.19
"1162",15.9,25.65,9.59,28.44,20.26
"1163",15.89,25.68,9.59,28.43,20.16
"1164",15.89,25.68,9.59,28.44,20.17
"1165",15.88,25.7,9.58,28.44,20.14
"1166",15.88,25.71,9.58,28.42,20.16
"1167",15.87,25.76,9.58,28.46,20.08
"1168",15.87,25.73,9.58,28.48,20.13
"1169",15.87,25.74,9.57,28.51,20.03
"1170",15.87,25.7,9.57,28.51,20.05
"1171",15.87,25.75,9.57,28.54,20.12
"1172",15.86,25.755,9.57,28.57,20.13
"1173",15.87,25.76,9.58,28.56,20.16
"1174",15.87,25.81,9.58,28.59,20.17
"1175",15.88,25.79,9.59,28.57,20.21
"1176",15.88,25.79,9.59,28.56,20.39
"1177",15.88,25.82,9.58,28.56,20.41
"1178",15.88,25.81,9.58,28.54,20.48
"1179",15.88,25.85,9.59,28.6,20.49
"1180",15.89,25.83,9.59,28.58,20.47
"1181",15.89,25.82,9.59,28.59,20.57
"1182",15.88,25.8,9.59,28.59,20.58
"1183",15.88,25.82,9.59,28.59,20.47
"1184",15.88,25.79,9.59,28.58,20.42
"1185",15.89,25.71,9.59,28.5,20.5
"1186",15.88,25.76,9.58,28.45,20.5
"1187",15.88,25.78,9.59,28.49,20.56
"1188",15.89,25.75,9.59,28.47,20.65
"1189",15.89,25.77,9.59,28.46,20.65
"1190",15.89,25.79,9.6,28.4,20.66
"1191",15.89,25.8,9.6,28.44,20.65
"1192",15.89,25.78,9.6,28.36,20.7
"1193",15.88,25.81,9.6,28.33,20.73
"1194",15.88,25.86,9.59,28.35,20.77
"1195",15.88,25.87,9.6,28.4,20.78
"1196",15.88,25.81,9.61,28.38,20.74
"1197",15.88,25.81,9.6,28.38,20.67
"1198",15.87,25.83,9.6,28.39,20.64
"1199",15.86,25.9,9.6,28.42,20.51
"1200",15.86,25.85,9.6,28.38,20.33
"1201",15.86,25.87,9.59,28.38,20.53
"1202",15.855,25.9,9.59,28.385,20.35
