"","IE00B62P4Q86","LU0261952419","LU0640798830","LU0871640040","GB0030655780"
"2019-09-18",34372,30.78,20.41,14.27,58.55
"2019-09-19",34607,30.78,20.44,14.32,58.21
"2019-09-20",34445,30.8,20.47,14.36,58.34
"2019-09-23",34124,30.91,20.3,14.27,57.72
"2019-09-24",34326,30.94,20.28,14.31,57.59
"2019-09-25",34353,31,20.07,14.16,56.73
"2019-09-26",34680,30.94,20.2,14.22,57.02
"2019-09-27",34602,30.93,20.15,14.22,56.74
"2019-09-30",34426,30.92,19.95,14.25,56.45
"2019-10-01",34493,30.84,20.05,14.26,
"2019-10-02",34033,30.85,19.74,13.99,56.19
"2019-10-03",33920,30.92,19.47,13.94,56.3
"2019-10-04",34134,30.93,19.6,14.04,56.22
"2019-10-07",34252,30.92,19.79,14.09,
"2019-10-08",33985,30.92,19.71,13.99,56.72
"2019-10-09",34263,30.88,19.47,13.99,56.13
"2019-10-10",34396,30.77,19.6,14.07,56.65
"2019-10-11",35065,30.71,19.82,14.29,57.43
"2019-10-14",34799,30.74,19.91,14.25,58.05
"2019-10-15",35557,30.74,19.94,14.27,57.83
"2019-10-16",35520,30.67,20.12,14.31,57.9
"2019-10-17",35382,30.66,20.15,14.39,58.19
"2019-10-18",35262,30.64,20.14,14.34,57.9
"2019-10-21",35476,30.58,20.08,14.37,57.73
"2019-10-22",35590,30.64,20.17,14.41,57.8
"2019-10-23",35763,30.67,20.01,14.35,57.27
"2019-10-24",35842,30.64,20.18,14.34,57.52
"2019-10-25",35986,30.64,20.16,14.31,57.72
"2019-10-28",36040,30.54,,14.37,58.21
"2019-10-29",36374,30.57,20.28,14.42,58.21
"2019-10-30",36263,30.58,20.21,14.33,57.93
"2019-10-31",35798,30.69,20.3,14.34,58.28
"2019-11-01",36093,,20.31,,
"2019-11-04",36386,30.59,20.49,14.47,59.06
"2019-11-05",36785,30.54,20.56,14.43,59.74
"2019-11-06",36698,30.54,20.57,14.43,59.72
"2019-11-07",37116,30.46,20.59,14.47,60.08
"2019-11-08",36821,30.36,20.63,14.4,59.98
"2019-11-11",36903,30.4,20.58,14.43,58.82
"2019-11-12",37177,30.35,20.6,14.45,59.11
"2019-11-13",37003,30.42,20.55,14.44,58.49
"2019-11-14",36634,30.47,20.57,14.45,58.08
"2019-11-15",37127,30.45,20.61,14.51,58.08
"2019-11-18",36929,30.48,20.84,14.59,58.6
"2019-11-19",36662,30.47,20.84,14.62,59.16
"2019-11-20",36687,30.5,20.81,14.62,59.01
"2019-11-21",36405,30.45,20.7,14.56,58.24
"2019-11-22",36448,30.47,20.7,14.59,58.5
"2019-11-25",36818,30.48,20.75,14.68,58.91
"2019-11-26",36856,30.5,20.92,14.71,59.16
"2019-11-27",37123,30.5,21,14.76,59.43
"2019-11-28",37064,30.49,21.06,14.76,59.57
"2019-11-29",36904,30.46,21.01,14.73,58.82
"2019-12-02",36594,30.34,20.96,14.66,58.89
"2019-12-03",36426,30.39,20.83,14.55,58.79
"2019-12-04",37161,30.44,20.77,14.64,58.44
"2019-12-05",37129,30.35,20.86,14.65,58.85
"2019-12-06",37544,30.34,20.87,14.73,59.56
"2019-12-09",37537,30.4,21.04,14.72,59.59
"2019-12-10",37510,30.38,20.96,14.69,59.52
"2019-12-11",37410,30.43,20.97,14.71,59.86
"2019-12-12",37744,30.45,21.1,14.76,60.53
"2019-12-13",37657,30.38,21.39,14.83,61.65
"2019-12-16",38172,30.46,21.43,14.92,61.62
"2019-12-17",38015,30.44,21.51,14.88,62.31
"2019-12-18",37907,30.41,21.48,14.9,62.48
"2019-12-19",37918,30.32,21.44,14.85,62.27
"2019-12-20",38076,30.33,21.5,14.93,62.23
"2019-12-23",37791,30.34,21.58,14.94,62.42
"2019-12-24",37751,,21.58,,
"2019-12-26",37949,,,,
