"","LU0612318385","GB0000799923","IE0004868604","LU0149984543","LU0029875118"
"2019-10-18",70.3,13.48,15.72,137.34,158.93
"2019-10-21",71.05,13.36,15.69,,160
"2019-10-22",70.72,13.36,15.76,137.09,159.98
"2019-10-23",70.68,13.24,15.73,137.5,160.07
"2019-10-24",71.07,13.29,15.78,137.27,160.25
"2019-10-25",70.57,13.36,15.79,137.5,159.14
"2019-10-28",71.1,,15.86,,158.54
"2019-10-29",71.27,13.49,15.88,139.46,159.16
"2019-10-30",70.87,13.43,15.86,140.01,159.99
"2019-10-31",71.03,13.49,15.87,139.73,160.52
"2019-11-01",,13.58,,,
"2019-11-04",72.45,13.81,15.95,140.32,159.84
"2019-11-05",72.26,13.96,15.95,139.81,157.91
"2019-11-06",72.38,13.98,15.97,139.79,158.19
"2019-11-07",72.47,14.02,15.99,140.25,157.27
"2019-11-08",71.99,13.98,15.99,138.6,156.1
"2019-11-11",72.31,13.71,16,138.65,
"2019-11-12",72.28,13.8,16.04,,155.15
"2019-11-13",71.82,13.7,16.03,136.86,155.73
"2019-11-14",71.7,13.59,16.06,137.48,156.34
"2019-11-15",72.07,13.61,16.08,137.95,157.3
"2019-11-18",72.21,13.75,16.07,137.78,158.36
"2019-11-19",72.45,13.91,16.08,138.4,158.89
"2019-11-20",71.75,13.83,16.08,138.75,158.17
"2019-11-21",71.54,13.64,16.03,138.56,156.67
"2019-11-22",71.78,13.7,16.07,137.76,156.44
"2019-11-25",72.23,13.81,16.13,139.32,157.15
"2019-11-26",72.3,13.84,16.19,139.34,158.42
"2019-11-27",72.46,13.89,16.22,140.07,159.15
"2019-11-28",72.49,13.9,16.23,139.91,
"2019-11-29",72.09,13.66,16.22,138.95,158.65
"2019-12-02",71.65,13.71,16.09,139,157.31
"2019-12-03",70.73,13.68,15.98,138.61,157.54
"2019-12-04",71.8,13.55,16.03,139.56,157.74
"2019-12-05",71.77,13.65,16.02,139.79,158.2
"2019-12-06",72.18,13.83,16.11,139.61,158.43
"2019-12-09",72.15,13.84,16.12,139.83,158.63
"2019-12-10",71.92,13.74,16.08,139.36,158.08
"2019-12-11",72.44,13.87,16.09,139.98,156.32
"2019-12-12",72.8,14.04,16.1,140.55,154.65
"2019-12-13",74.3,14.29,16.15,141.31,155.08
"2019-12-16",75.4,14.29,16.25,140.82,155.85
"2019-12-17",74.95,14.51,16.21,141.78,154.71
"2019-12-18",74.66,14.5,16.23,142.03,155.23
"2019-12-19",74.64,14.45,16.22,142.08,156.05
"2019-12-20",74.92,14.39,16.32,142.2,156.46
"2019-12-23",74.96,14.44,16.34,141.97,155.9
"2019-12-24",,14.46,,,
