"","IE0030016244","LU0640798830","LU1046421878","LU0028119013","LU0123357419","LU0048622798","LU0055114457","HK0000194255","LU0050427557","LU0261959422","LU0111491626","IE0000830129","LU0742537680","LU0353647653","LU0367025839","LU0122376428","LU0386018732","LU0050372472","LU0261952419","LU0532244745","LU0125727601","LU0823389423","LU0072462343","LU0011963328","LU0172157280","LU0717748213","LU0132414144","LU0011963674","IE0004868828","LU0367024519","LU0745992734","IE00B3YQ9180","LU0237698757","LU1775951525","LU1046420557","LU0261952922","LU0161332480","IE00B62P4Q86","IE00B4YN5X00","LU0052588471","IE00B237VG42","LU0048574536","LU0823413587","LU0011850392","LU0048621717","LU0119750205","LU0149503202","LU0794788066","LU0794787928","LU0971552673","LU0348825331","GB0030655780","LU0982800228","LU0396313180","LU0354059684","GB00B3B9VC56","LU0307460401","LU1775955435","GB00B3B9V927","LU0265550359","LU0871640040","LU1023057109","LU0428352859","LU1046420987","LU0314106062","IE00B3Y5VT74","LU0252652382","IE00B464Q616","LU1023062109","LU0196876865"
"2014-01-01 08:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7656,,
"2014-01-02 08:00:00",16.09,9.511,,18.51,28.42,6.142,22.741,,36.108,14.98,38.37126,62.78,10.87,11.09,7.66008,24.79,0.9122,24.42,15.57,6.69,57.99,75.99,30.360001,30.1458,33.27,10.668,37.8504,359.962,120.96943,14.68,6.91,121.65,10.66,6.32,,10.8627,25752,63.27,6716,14.559,27.04,45.561,566.60999,88.53,2.348,13.48,20.27,7.5347,7.8775,7.62,47.19,27.5057,7.58,18.529,11.46,2.66,9.091,73.88,160.2,11.09,5.11,,8.413,,0.77389,8.85,28.59,7.7291,,1.9344
"2014-01-03 08:00:00",15.99,9.254,,18.62,28.02,6.141,22.432,,36.098,15.1,38.52542,61.96,10.86,11.16,7.66889,24.65,0.913,24.450001,15.68,6.68,58.26,76.06,29.98,29.9875,33.3,10.6681,37.8469,359.9262,120.09692,14.47,6.9,121.16,10.71,6.24,,10.8627,25574,63.3,6603.52,14.625,26.83,45.561,562.28998,87.77,2.355,13.52,20.11,7.5423,7.8857,7.62,46.27,27.6611,7.57,18.4408,11.47,2.647,9.109,73.89,160.1,11.07,5.11,,8.4,,0.77502,8.85,28.64,7.7291,,1.915
"2014-01-06 08:00:00",15.97,9.147,,18.68,27.94,6.153,22.064,,35.962,15.08,38.44428,61.53,10.85,11.13,7.68649,24.53,0.9138,24.49,15.63,6.68,58.09,76.09,29.84,29.8685,32.89,10.6656,37.9027,358.03,120.25203,14.42,6.88,120.53,10.68,6.22,,10.8628,25736,63.4,6524.54,14.606,26.75,45.233,558.84998,87.47,2.363,13.54,20.14,7.5454,7.8889,7.61,45.64,27.7097,7.57,18.3555,11.464,2.642,9.054,73.92,160.6,11.04,5.12,,8.355,,0.77662,8.87,28.57,7.7217,,1.9019
"2014-01-07 08:00:00",15.97,9.11,,18.65,27.87,6.156,21.955,,36.03,15.08,38.64713,61.31,10.9,11.15,7.7041,24.65,0.9151,24.530001,15.74,6.68,58.51,76.17,29.780001,29.8836,32.62,10.6459,37.9143,355.2339,119.72852,14.39,6.87,120.32,10.76,6.22,,10.8628,25822,63.44,6495.63,14.701,26.7,45.384,561.20001,88.15,2.381,13.56,20.09,7.5207,7.8629,7.64,45.37,27.7097,7.59,18.3046,11.467,2.63,8.997,73.98,159.5,11.05,5.13,,8.343,,0.77972,8.89,28.6,7.7364,,1.9083
"2014-01-08 08:00:00",16.08,9.198,,18.76,28.07,6.144,22.024,,35.787,15.1,38.61468,61.6,10.89,11.13,7.6953,24.62,0.9162,24.549999,15.91,6.67,58.62,75.97,30.040001,29.8314,32.42,10.6463,37.9716,361.6972,121.35722,14.49,6.87,120.31,10.77,6.28,,10.8628,25988,63.5,6575.34,14.729,26.85,45.251,562.31,87.91,2.379,13.55,20.2,7.5318,7.8746,7.62,46.07,27.7874,7.58,18.3738,11.492,2.63,9.038,74.02,159.4,11.03,5.13,,8.358,,0.77812,8.87,28.57,7.7144,,1.8997
"2014-01-09 08:00:00",16.05,9.108,,18.95,27.91,6.144,22.114,,35.137,15.03,38.36314,61.25,10.85,11.07,7.68649,24.6,0.9166,24.549999,15.95,6.68,58.36,75.97,29.83,29.8415,31.99,10.6451,37.9122,358.5351,120.89187,14.41,6.88,120.42,10.7,6.26,,10.8628,25887,63.51,6515.48,14.691,26.79,45.18,556.87,87.41,2.37,13.64,20.25,7.5366,7.8797,7.67,45.58,27.9526,7.58,18.2833,11.484,2.628,9.023,73.96,158.9,11.01,5.15,,8.362,,0.77793,8.87,28.58,7.7071,,1.8899
"2014-01-10 08:00:00",16.05,9.16,,18.87,27.8,6.177,22.611,,35.758,15.07,38.56599,61.17,10.9,11.12,7.6953,24.56,0.9177,24.549999,15.94,6.68,58.81,76.06,29.690001,29.8306,32.02,10.654,37.9261,357.3186,121.42508,14.35,6.88,120.07,10.73,6.23,,10.8628,25817,63.52,6505.55,14.72,26.79,45.18,561.66998,87.72,2.381,13.67,20.26,7.539,7.8822,7.65,45.48,28.0789,7.6,18.2862,11.521,2.625,9.035,74.01,159.1,11.05,5.15,,8.391,,0.78329,8.91,28.68,7.7729,,1.8985
"2014-01-13 08:00:00",16.11,9.195,,18.93,27.92,6.191,23.845,,35.855,15.1,38.53354,61.79,10.88,11.11,7.75693,24.47,0.9189,24.58,15.99,6.69,58.74,76.04,29.940001,29.5254,32.18,10.6797,38.0257,357.2625,122.88896,14.41,6.91,119.25,10.75,6.28,,10.8629,25626,63.59,6542.57,14.748,26.86,45.047,563.40002,88.24,2.397,13.64,20.28,7.5472,7.8904,7.65,45.44,28.2052,7.61,18.4505,11.529,2.636,9.219,74.1,159.5,11.06,5.18,,8.439,,0.78282,8.92,28.65,7.7949,,1.9072
"2014-01-14 08:00:00",15.92,9.172,,18.86,27.4,6.186,23.766,,35.681,15.09,38.52542,61.77,10.88,11.14,7.72171,24.25,0.9191,24.6,15.9,6.69,58.85,75.93,29.860001,29.4162,32.08,10.6822,38.0567,349.2263,122.72416,14.15,6.9,117.4,10.73,6.25,,10.8629,25606,63.62,6509.55,14.738,26.69,44.567,563.26001,87.31,2.406,13.63,19.98,7.5499,7.8933,7.61,45.33,28.0303,7.61,18.2667,11.535,2.615,,74.05,158.5,11.01,5.15,,8.439,,0.78282,8.91,28.73,7.7876,,1.8877
"2014-01-15 08:00:00",16.12,9.23,,19.15,27.77,6.175,24.025,,35.865,15.19,38.92301,62.01,10.96,11.25,7.73052,24.39,0.9198,24.6,16.08,6.69,59.51,75.99,29.91,29.5619,32.39,10.6795,38.0706,355.2007,122.34607,14.34,6.9,118.4,10.84,6.26,,10.8629,25956,63.64,6558.99,14.88,26.82,44.905,567.71997,88.61,2.427,13.8,20.17,7.5499,7.8933,7.67,45.52,28.3412,7.63,18.3473,11.529,2.642,9.299,74.2,160.2,11.03,5.16,,8.412,,0.78875,8.91,28.65,7.751,,1.9052
"2014-01-16 08:00:00",16.17,9.213,,19.16,27.72,6.178,23.607,,35.322,15.14,38.89867,62.27,10.93,11.27,7.73932,24.4,0.9198,24.639999,16.11,6.7,59.39,75.84,30.209999,30.1312,33.23,10.6767,38.1114,355.1964,122.41393,14.31,6.89,120.06,10.8,6.27,,10.8629,25796,63.71,6572.49,14.852,26.88,45.251,564.58002,88.08,2.409,13.8,20.3,7.5581,7.9017,7.7,45.72,28.3218,7.64,18.2788,11.574,2.647,9.265,74.33,161.3,11.04,5.17,,8.413,,0.78997,8.93,28.61,7.7437,,1.8948
"2014-01-17 08:00:00",16.17,9.197,,19.29,27.78,6.194,23.746,,35.118,15.17,39.18266,62.37,10.95,11.32,7.76574,24.45,0.9206,24.690001,16.17,6.7,59.84,75.8,30.09,30.2238,33.76,10.6945,38.1596,353.6883,122.61752,14.35,6.9,119.95,10.89,6.29,,10.8629,26042,63.75,6583.61,14.899,26.88,45.126,562.62,87.7,2.407,13.85,20.19,7.5628,7.9069,7.72,45.9,28.3995,7.64,18.3601,11.581,2.65,9.187,74.46,160.5,11.06,5.17,,8.429,,0.78969,8.94,28.62,7.751,,1.8752
"2014-01-20 08:00:00",16.1,9.073,,19.33,27.67,6.203,23.816,,35.215,15.21,39.10963,62.33,10.93,11.36,7.75693,24.51,0.9207,24.73,16.15,6.7,59.48,75.7,30.02,30.1248,34.02,10.6962,38.202,352.1516,122.25881,14.29,6.89,119.58,10.85,6.25,,10.863,25956,63.79,6526.2,14.918,26.79,44.949,561.52002,87.31,2.406,13.87,20.04,7.5675,7.9119,7.74,45.43,28.3704,7.64,18.2644,11.6,2.635,9.238,74.53,159.6,11.05,5.17,,8.418,,0.78724,,28.62,7.751,,1.8705
"2014-01-21 08:00:00",16.08,9.122,,19.3,27.66,6.203,23.786,,34.982,15.26,39.10152,62.27,10.95,11.4,7.75693,24.65,0.9208,24.73,16.18,6.69,59.47,75.54,30.059999,30.1274,33.63,10.6843,38.1722,354.1165,122.85988,14.28,6.88,120.43,10.87,6.25,,10.863,25815,63.8,6563.52,14.947,26.79,45.091,562.45001,88.01,2.405,13.93,20.04,7.5685,7.9133,7.72,45.37,28.4093,7.63,18.2241,11.603,2.637,9.224,74.41,159.9,11.08,5.18,,8.397,,0.7895,8.94,28.54,7.7144,,1.8689
"2014-01-22 08:00:00",16.12,9.204,,19.25,27.88,6.198,23.925,,35.04,15.26,39.15831,62.47,10.95,11.43,7.79215,24.75,0.9205,24.709999,16.24,6.68,59.55,75.33,30.200001,30.0195,33.39,10.6722,38.1696,354.5335,122.74355,14.39,6.87,119.99,10.96,6.26,,10.863,25944,63.79,6615.15,14.956,26.85,45.118,564.81,87.94,2.396,13.94,20.1,7.5728,7.9176,7.73,45.77,28.3121,7.62,18.251,11.6,2.643,9.227,74.35,159,11.05,5.17,,8.383,,0.78828,8.91,28.51,7.7071,,1.8673
"2014-01-23 08:00:00",16.13,9.081,,19.28,28.08,6.208,23.955,,34.798,15.1,38.72827,61.98,10.92,11.32,7.78335,24.75,0.9209,24.719999,16.04,6.72,59.07,74.96,29.85,29.8701,32.95,10.6772,38.0949,349.9334,122.07462,14.5,6.86,118.96,10.77,6.21,,10.863,25533,63.81,6555.37,14.862,26.76,44.621,554.38,86.47,2.37,13.94,20.18,7.5771,7.9218,7.71,45.27,28.3121,7.61,18.1064,11.571,2.642,9.187,74.32,158.5,10.99,5.18,,8.366,,0.78715,8.91,28.26,7.6925,,1.8532
"2014-01-24 08:00:00",15.83,8.908,,18.85,27.76,6.221,23.398,,33.798,14.78,37.89253,61.15,10.78,11.1,7.74813,24.4,0.9173,24.719999,15.8,6.65,57.29,74.63,29.52,29.7281,32.4,10.6937,37.9837,344.2255,120.63981,14.33,6.85,118.55,10.61,6.14,,10.8631,24721,63.75,6428.72,14.663,26.54,44.124,541.53998,83.78,2.319,13.67,19.97,7.569,7.9128,7.62,44.3,27.6223,7.55,18.0046,11.465,2.605,8.986,74.32,156.1,10.95,5.17,,8.347,,0.77379,8.89,28.08,7.6413,,1.8094
"2014-01-27 08:00:00",15.43,8.744,,18.48,27.12,6.222,22.751,,33.42,14.64,37.62476,59.62,10.7,11.01,7.71291,24.06,0.9163,24.719999,15.57,6.64,56.91,74.55,28.85,29.6769,32.12,10.6682,37.8721,335.5578,118.82692,14,6.84,118.51,10.51,6.01,,10.8631,24205,63.6,6261.56,14.615,26.1,43.928,532.42999,83.39,2.286,13.41,19.52,7.5446,7.8874,7.48,43.2,27.1462,7.53,17.7006,11.421,2.543,8.677,73.82,152.9,10.82,5.15,,8.301,,0.76458,8.88,28.09,7.6194,,1.7895
"2014-01-28 08:00:00",15.38,8.768,,18.81,26.9,6.213,23.029,,33.653,14.79,37.85196,59.85,10.72,11.03,7.7041,23.98,0.9181,24.74,15.7,6.65,57.47,74.66,28.959999,29.4437,32.13,10.6334,37.787,335.3425,119.07898,13.88,6.85,116.94,10.58,6.02,,10.8631,24468,63.54,6283.39,14.729,26.07,44.07,537.51001,82.67,2.315,13.51,19.35,7.5335,7.876,7.51,43.18,27.5445,7.54,17.6128,11.378,2.539,8.749,73.51,152.6,10.78,5.15,,8.308,,0.76552,8.89,28.22,7.6486,,1.7773
"2014-01-29 08:00:00",15.54,8.81,,18.92,27.08,6.223,23.358,,33.381,14.72,37.60853,60.43,10.71,10.96,7.74813,23.8,0.9174,24.77,15.72,6.67,56.94,74.45,29.26,29.6211,32.29,10.6502,37.834,343.9555,119.49585,13.98,6.86,118.19,10.52,6.1,,10.8631,24465,63.59,6387.98,14.672,26.24,44.168,536.25,80.83,2.299,13.51,19.54,7.538,7.8807,7.53,44.03,27.7389,7.54,17.6883,11.371,2.548,8.769,73.78,153.2,10.75,5.15,,8.331,,0.75602,8.89,28.04,7.6429,,1.7466
"2014-01-30 08:00:00",15.29,8.828,,18.66,26.93,6.221,23.617,,33.4,14.7,37.75459,60.12,10.74,11.02,7.6953,23.84,0.9168,24.77,16,6.66,57.21,74.35,29.16,29.5172,32.33,10.6708,37.7368,337.2039,119.68974,13.9,6.84,117.17,10.68,6.04,,10.8631,24445,63.52,6330.18,14.691,26.06,44.301,539.57001,81.27,2.299,13.38,19.4,7.5363,7.879,7.45,43.81,27.4474,7.54,17.4098,11.369,2.509,8.676,73.79,151.5,10.75,5.15,,8.325,,0.75856,8.89,28.03,7.6429,,1.7478
"2014-01-31 08:00:00",15.4,,,18.75,27.03,6.235,23.388,,33.158,14.75,37.56796,59.87,10.66,11.01,7.72171,23.52,0.9152,24.84,15.98,6.65,56.77,74.04,29.18,29.5125,32.3,10.6592,37.6634,338.437,120.04844,13.96,,117.17,10.72,6.05,,10.8632,23955,63.51,6330.74,14.682,26.06,44.132,536.5,80.97,2.287,13.3,19.62,7.5402,7.8833,7.45,,27.3405,7.52,17.4046,11.331,2.511,8.704,73.66,151.9,10.69,5.15,,8.316,,0.74399,8.88,27.94,7.6209,,1.7278
"2014-02-03 08:00:00",15.33,,,18.86,26.88,6.254,22.96,,32.527,14.6,37.07301,59.74,10.55,10.91,7.73932,23.59,0.9143,24.860001,15.81,6.66,55.96,73.98,28.969999,29.4222,32.29,10.6524,37.5988,336.0095,120.37806,13.87,6.84,117.2,10.54,6.01,,10.8632,23257,63.49,6326.82,14.568,25.94,43.689,529.84998,80.67,2.263,13.42,19.57,7.5371,7.8802,7.43,,27.4474,7.5,17.2988,11.319,2.516,8.592,73.29,153.4,10.71,5.14,,8.303,,0.74765,8.89,27.77,7.6282,,1.7238
"2014-02-04 08:00:00",14.96,8.517,,18.54,26.41,6.245,23.109,,32.886,14.55,36.92696,58.44,10.49,10.84,7.67769,23.4,0.9134,24.85,15.74,6.64,55.97,74.27,28.620001,28.9182,31.93,10.6757,37.5933,319.815,119.20501,13.63,6.84,115.02,10.67,5.91,,10.8632,22875,63.47,6088.08,14.578,25.53,43.387,527.52002,80.96,2.26,13.25,19.09,7.5297,7.8725,7.38,42.48,26.981,7.5,17.0974,11.266,2.471,8.614,73.13,150.7,10.56,5.14,,8.336,,0.74004,8.89,28.06,7.6503,,1.7273
"2014-02-05 08:00:00",15.11,8.493,,18.69,26.7,6.238,23.268,,32.653,14.55,36.91884,58.33,10.51,10.88,7.7041,23.32,0.9138,24.889999,15.73,6.64,55.98,74.44,28.370001,28.813,32.12,10.6674,37.748,324.3253,119.67035,13.78,6.85,114.5,10.63,5.92,,10.8632,22990,63.45,6063.59,14.578,25.59,43.147,525.92999,81.83,2.269,13.34,19.2,7.5231,7.8656,7.4,42.25,27.3211,7.49,17.2011,11.236,2.473,8.664,73.23,151.3,10.53,5.14,,8.345,,0.73928,8.89,28.12,7.6723,,1.7463
"2014-02-06 08:00:00",15.12,8.529,,18.79,26.52,6.228,23.746,,33.41,14.7,37.38134,58.83,10.6,11,7.71291,23.43,0.9154,24.84,15.7,6.66,56.74,74.56,28.690001,29.0556,32.33,10.6594,37.8458,322.7005,120.52348,13.69,6.85,115.85,10.66,5.94,,10.8632,23265,63.46,6101.36,14.691,25.61,43.831,539.10999,82.85,2.304,13.46,19.16,7.528,7.8706,7.45,42.62,27.5251,7.53,17.2714,11.275,2.48,8.692,73.29,151.4,10.62,5.14,,8.342,,0.7517,8.9,28.18,7.7091,,1.7799
"2014-02-07 08:00:00",15.32,8.655,,18.86,26.95,6.24,24.094,,33.371,14.82,37.63288,59.53,10.69,11.06,7.75693,23.61,0.9159,24.889999,15.84,6.67,57.07,74.8,29.09,29.1928,32.88,10.6705,37.9167,328.5469,121.14393,13.91,6.86,116.69,10.74,6,,10.8633,23707,63.56,6191.91,14.767,25.87,43.982,542.04999,84.03,2.314,13.54,19.36,7.5422,7.8853,7.5,43.25,27.7291,7.55,17.4195,11.358,2.516,8.722,73.73,153.4,10.73,5.15,,8.353,,0.75847,8.92,28.22,7.7091,,1.7918
"2014-02-10 08:00:00",15.49,8.636,,18.88,27.18,6.241,23.895,,33.187,14.88,37.64099,59.53,10.71,11.08,7.77454,23.64,0.9171,24.889999,15.95,6.67,57.1,74.77,29.09,29.4793,33.14,10.6889,38.0016,333.2426,120.71737,14.03,6.86,117.99,10.75,6.01,,10.8633,23625,63.61,6195.9,14.767,26.01,44.195,540.39001,82.99,2.319,13.55,19.7,7.5556,7.8993,7.53,43.37,27.8069,7.56,17.4206,11.396,2.53,8.695,73.56,153.7,10.8,5.16,,8.358,,0.76176,8.93,28.15,7.7091,,1.7803
"2014-02-11 08:00:00",15.55,8.785,,18.99,27.05,6.229,24.144,,33.575,15.08,38.13595,60.11,10.82,11.21,7.80976,23.87,0.9182,24.9,16.1,6.68,57.77,74.75,29.25,29.6342,33.46,10.6902,37.7547,333.2285,120.95974,13.96,6.86,118.7,10.85,6.06,,10.8633,23918,63.66,6303.16,14.918,26.19,44.629,547.46002,83.34,2.342,13.67,19.66,7.5654,7.9094,7.6,43.96,27.9429,7.59,17.5129,11.452,2.541,8.744,73.72,154,10.84,5.17,,8.371,,0.76815,8.93,28.27,7.7238,,1.7885
"2014-02-12 08:00:00",15.71,8.896,,19.15,27.44,6.221,24.303,,33.439,15.14,38.49296,60.77,10.83,11.29,7.85378,24.14,0.9196,24.9,16.21,6.69,58.23,74.82,29.49,29.9805,34.4,10.7018,38.0273,337.0094,122.50118,14.16,6.88,119.91,10.87,6.13,,10.8633,24072,63.73,6381.22,14.966,26.43,44.887,553.38,84.63,2.342,13.8,19.88,7.577,7.922,7.65,44.42,28.1178,7.6,17.6715,11.545,2.545,8.779,73.7,153.3,10.94,5.18,,8.407,,0.77568,8.93,28.32,7.7311,,1.8093
"2014-02-13 08:00:00",15.66,8.821,,19.1,27.49,6.236,24.632,,33.381,15.09,38.47674,60.52,10.83,11.3,7.83617,23.95,0.9193,24.9,16.17,6.69,58.07,74.75,29.280001,30.0283,34.16,10.7075,38.0049,332.5584,121.89042,14.19,6.89,119.64,10.82,6.1,,10.8633,23697,63.78,6339.87,14.975,26.37,44.967,550.62,82.66,2.32,13.76,19.89,7.5892,7.9345,7.67,44.17,28.0692,7.6,17.6421,11.467,2.53,8.659,73.85,151.4,10.91,5.19,,8.412,,0.77332,8.94,28.26,7.7311,,1.7796
"2014-02-14 08:00:00",15.79,8.872,,19.24,27.68,6.239,25,,34.002,15.15,38.67959,60.75,10.9,11.37,7.86259,24.23,0.9207,24.91,16.28,6.7,58.42,74.7,29.51,30.3446,34.57,10.7212,38.0655,328.9221,122.42362,14.29,6.91,120.79,10.84,6.14,,10.8634,23558,63.79,6372.11,15.022,26.46,45.455,556.23999,84,2.325,13.89,20.02,7.5871,7.9319,7.7,44.59,28.2635,7.62,17.6566,11.569,2.538,8.753,73.75,151.2,10.98,5.19,,8.46,,0.78292,8.94,28.34,7.7752,,1.8037
"2014-02-17 08:00:00",15.86,8.957,,19.35,27.92,6.241,25.388,,34.031,15.22,38.86621,61.22,10.93,11.39,7.90661,24.39,0.9218,24.93,16.3,6.71,58.6,74.78,29.799999,30.5208,34.77,10.7411,38.0348,330.7528,124.45949,14.41,6.91,121.69,10.87,6.18,,10.8634,23730,63.84,6445.43,15.032,26.58,45.499,561.29999,84.69,2.346,13.95,20.1,7.5989,7.9443,7.73,45.11,28.3898,7.64,17.7622,11.605,2.553,8.811,73.82,152,11.01,5.2,,8.505,,0.78856,,28.42,7.7752,,1.8094
"2014-02-18 08:00:00",15.88,8.927,,19.2,27.91,6.247,25.338,,33.827,15.2,38.89867,61.15,10.97,11.38,7.90661,24.5,0.9211,24.950001,16.36,6.71,58.56,74.65,29.75,30.5194,34.66,10.7321,38.0602,338.8309,123.82934,14.41,6.91,121.97,10.85,6.19,,10.8634,24221,63.88,6427.57,15.051,26.61,45.641,558.76001,83.64,2.364,13.9,20.09,7.6008,7.9463,7.7,44.77,28.3315,7.64,17.8415,11.614,2.555,8.862,73.86,152.4,11.01,5.2,,8.48,,0.79147,8.96,28.34,7.7899,,1.8054
"2014-02-19 08:00:00",15.96,8.932,,19.17,28.16,6.255,25.706,,33.138,15.23,38.98792,61.04,10.94,11.42,7.93303,24.62,0.9228,24.969999,16.4,6.71,58.65,74.51,29.780001,30.5873,34.61,10.7678,38.0877,338.2773,123.9069,14.54,6.91,122.36,10.95,6.21,,10.8634,24209,63.92,6433.93,15.06,26.64,45.845,559.41998,81.92,2.366,13.9,20.16,7.6092,7.955,7.75,44.63,28.283,7.64,17.8717,11.603,2.555,,74.04,152.7,11.03,5.21,,8.496,,0.79147,8.95,28.21,7.7826,,1.7681
"2014-02-20 08:00:00",15.8,8.844,,19.3,28.21,6.238,25.736,,33.342,15.24,39.02849,60.37,10.89,11.42,7.92422,24.54,0.9235,24.93,16.46,6.71,58.67,74.69,29.5,30.8084,34.3,10.7567,38.0097,332.9798,123.63545,14.56,6.9,122.3,10.94,6.16,,10.8635,23628,63.95,6360.45,15.022,26.44,46.04,556.57001,81.61,2.367,13.89,20.05,7.6209,7.9674,7.72,44.08,28.1664,7.64,17.7259,11.562,2.549,8.852,73.86,152.4,10.98,5.21,,8.469,,0.78574,8.95,28.22,7.7752,,1.7587
"2014-02-21 08:00:00",15.92,8.834,,19.49,28.33,6.242,26.124,,33.439,15.28,39.19889,60.81,10.97,11.45,7.94183,24.61,0.9256,24.959999,16.52,6.71,58.92,75.01,29.780001,31.057,34.65,10.7533,38.0456,341.1612,124.17835,14.62,6.9,122.85,10.96,6.23,,10.8635,24057,63.98,6366.84,15.051,26.57,46.058,559.82001,82.55,2.373,14.02,20.17,7.6249,7.9719,7.8,44.07,28.3898,7.66,17.9529,11.609,2.573,8.96,73.98,153.7,11.07,5.22,,8.484,,0.79317,8.98,28.32,7.7973,,1.7808
"2014-02-24 08:00:00",15.91,8.736,,19.54,28.23,6.246,26.314,,33.798,15.36,39.41797,60.35,11.05,11.52,7.93303,24.88,0.9259,24.959999,16.63,6.71,59.26,75.26,29.66,31.0447,34.32,10.7606,38.1642,340.3481,123.96507,14.57,6.89,123.23,10.96,6.18,,10.8635,24106,64.08,6284.85,15.089,26.51,46.413,558.10999,83.01,2.385,14.05,20.12,7.6361,7.9834,7.77,43.76,28.4967,7.68,17.8186,11.623,2.576,8.998,74.23,154.1,11.09,5.23,,8.492,,0.79288,8.99,28.42,7.8193,,1.7859
"2014-02-25 08:00:00",15.99,8.695,,19.6,28.64,6.262,25.836,,33.517,15.45,39.37739,60.3,11.07,11.53,7.95064,24.72,0.9268,24.98,16.64,6.71,59.22,75.38,29.780001,30.9886,33.81,10.7537,38.2603,346.3009,123.69362,14.78,6.88,123.14,10.96,6.18,,10.8635,23994,64.16,6254,15.079,26.57,46.182,554.39001,81.44,2.378,14.13,20.28,7.6465,7.9944,7.82,43.29,28.6619,7.68,17.8292,11.659,2.576,9.017,74.48,153.7,11.1,5.23,,8.496,,0.79364,9.01,28.4,7.8267,,1.7629
"2014-02-26 08:00:00",15.95,8.774,,19.55,28.6,6.265,25.547,,33.332,15.36,39.33682,60.82,11.04,11.5,7.96824,24.72,0.9276,25.02,16.75,6.71,59.13,75.35,30.01,31.1336,33.8,10.7619,38.3364,345.008,123.27675,14.76,6.89,123.11,10.98,6.19,,10.8635,23855,64.2,6314.89,15.079,26.57,46.2,556.89001,80.74,2.366,14.14,20.24,7.6588,8.0071,7.81,43.72,28.5453,7.67,17.7899,11.632,2.573,9.047,74.59,153.5,11.1,5.23,10,8.515,,0.78743,9.01,28.39,7.8046,10,1.7525
"2014-02-27 08:00:00",15.88,8.918,,19.5,28.41,6.281,25.726,,33.546,15.37,39.22323,61.33,11.06,11.51,7.95944,24.65,0.9287,25.1,16.69,6.72,58.99,75.58,30.299999,31.0662,33.94,10.768,38.3295,343.5013,124.51766,14.66,6.88,122.85,10.88,6.23,,10.8636,23598,64.26,6411.94,15.06,26.6,46.085,562.38,79.78,2.371,14.07,20.2,7.6678,8.0169,7.75,44.39,28.4093,7.69,17.8018,11.638,2.577,,74.96,154.2,11.09,5.25,10.17,8.513,,0.78668,9.03,28.41,7.8144,10,1.7313
"2014-02-28 08:00:00",16,8.9,,19.61,28.58,6.277,26.254,,33.662,15.5,39.19889,61.73,11.16,11.55,7.96824,24.83,0.9287,25.040001,16.72,6.73,59.16,75.65,30.41,31.0525,33.6,10.7803,38.4556,342.4439,124.12018,14.75,6.89,122.81,10.87,6.27,,10.8636,23756,64.35,6422.09,15.098,26.72,46.209,566.04999,80.37,2.371,14.14,20.28,7.6777,8.0265,7.82,44.58,28.6424,7.71,17.8845,11.675,2.579,9.116,75.1,153.9,11.19,5.25,10.17,8.527,,0.79787,9.04,28.43,7.8365,10.08,1.7509
"2014-03-03 08:00:00",15.74,8.777,,19.24,28.72,6.297,25.906,,33.002,15.2,38.37937,61.29,10.92,11.33,7.98491,24.88,0.9289,25.09,16.36,6.72,57.7,75.27,30.129999,30.9103,33.44,10.8048,38.5277,337.1404,123.85843,14.82,6.89,122.56,10.83,6.22,,10.8636,23123,64.32,6330.75,14.862,26.48,45.881,554.45001,74.29,2.328,13.93,20.1,7.6877,8.0369,7.74,44.06,28.2052,7.66,17.7845,11.575,2.567,9.05,75.17,152.8,11.12,5.26,10.05,8.532,,0.78273,9.02,28.2,7.807,9.88,1.6
"2014-03-04 08:00:00",15.94,8.785,,19.55,28.82,6.279,26.244,,33.594,15.47,39.04472,61.3,11.09,11.54,7.99377,24.85,0.929,25.110001,16.73,6.73,58.94,75.55,30.110001,31.2404,33.62,10.791,38.3428,339.1741,124.27529,14.87,6.88,123.02,11.01,6.23,,10.8636,23712,64.32,6357.89,15.06,26.61,46.466,562.78998,77.12,2.378,14.15,20.43,7.6815,8.0298,7.75,44.35,28.6619,7.71,17.9232,11.648,2.61,9.143,74.81,155.7,11.23,5.26,10.09,8.53,,0.79241,9.03,28.42,7.8218,10.06,1.6635
"2014-03-05 08:00:00",16.02,8.741,,19.8,28.86,6.277,26.383,,33.721,15.42,39.1502,61.76,11.09,11.55,8.02036,24.8,0.9302,25.129999,16.7,6.73,58.81,75.56,30.24,31.1762,33.69,10.8036,38.4733,339.9415,125.3514,14.89,6.89,124.15,10.95,6.28,,10.8636,23602,64.38,6325.51,15.06,26.73,46.617,564.37,77.89,2.358,14.21,20.54,7.6894,8.0386,7.8,43.91,28.7493,7.7,18.1175,11.677,2.617,9.245,75.07,156,11.22,5.26,10.07,8.559,,0.79392,9.03,28.49,7.8365,10.08,1.6738
