"","LU0231483743","LU0243957239","HK0000065125","LU0261952682","LU0823388615"
"2014-06-04",6.31,11.85,16.69,140.36,35.74
"2014-06-05",6.32,11.96,16.6825,141.5,35.84
"2014-06-06",6.35,12.09,16.7378,143.52,35.9
"2014-06-09",NA,NA,16.7378,NA,NA
"2014-06-10",6.36,12.2,16.7732,145.06,36.03
"2014-06-11",6.35,12.2,16.755,144.51,36.52
"2014-06-12",6.35,12.18,16.7589,144.28,36.29
"2014-06-13",6.33,12.17,16.7662,140.91,36.57
"2014-06-16",6.34,12.11,16.7695,140.6,36.61
"2014-06-17",6.35,12.23,16.77,142.39,36.61
"2014-06-18",6.36,12.22,16.7577,140.91,36.85
"2014-06-19",6.39,12.2,16.7899,141.24,37.15
"2014-06-20",6.39,12.27,16.786,140.47,36.94
"2014-06-23",NA,NA,16.786,NA,NA
"2014-06-24",6.39,12.25,16.7972,142.4,37.08
"2014-06-25",6.37,12.16,16.809,142.37,37
"2014-06-26",6.38,12.19,16.8241,141.3,37.22
"2014-06-27",6.39,12.21,16.8286,142.09,37.09
"2014-06-30",6.4,12.25,16.8215,144.34,37.57
"2014-07-01",6.41,12.43,16.8129,144.36,37.69
"2014-07-02",6.43,12.48,16.8134,146.9,37.84
"2014-07-03",6.44,12.55,16.7854,146.64,37.57
"2014-07-04",NA,12.6,16.8074,147.32,37.72
"2014-07-07",6.44,12.56,16.8061,147.54,37.73
"2014-07-08",6.4,12.34,16.8224,143.71,37.66
"2014-07-09",6.4,12.28,16.8256,141.74,37.43
"2014-07-10",6.39,12.15,16.8333,141.06,37.24
"2014-07-11",6.39,12.24,16.8226,139.01,37.11
"2014-07-14",6.41,12.29,16.8226,137.86,37.32
"2014-07-15",6.42,12.27,16.8303,139.84,37.4
"2014-07-16",6.41,12.39,16.8318,141.86,37.38
"2014-07-17",6.41,12.37,16.8494,143.75,37.46
"2014-07-18",6.38,12.35,16.8601,143.39,37.25
"2014-07-21",6.39,12.43,16.8619,143.42,37.26
"2014-07-22",6.4,12.57,16.8639,143.87,37.63
"2014-07-23",6.41,12.55,16.8714,144.35,37.74
"2014-07-24",6.41,12.53,16.873,144.53,37.75
"2014-07-25",6.4,12.49,16.8735,143.11,37.86
"2014-07-28",6.38,12.42,16.8941,143.23,37.95
"2014-07-29",6.38,12.53,16.9079,143.19,38.07
"2014-07-30",6.37,12.58,16.9186,143.85,37.76
"2014-07-31",6.35,12.49,16.892,141.79,37.42
"2014-08-01",6.3,12.35,16.8654,140.14,37.06
"2014-08-04",6.28,12.39,16.8768,142.04,37.17
"2014-08-05",6.29,12.39,16.8688,143.95,36.81
"2014-08-06",6.27,12.35,16.8826,141.65,36.34
"2014-08-07",6.27,12.46,16.8749,141.68,36.79
"2014-08-08",6.26,12.37,16.8732,139.54,36.39
"2014-08-11",6.3,12.52,16.8674,140.7,36.92
"2014-08-12",6.3,12.59,16.8786,142.07,36.98
"2014-08-13",6.31,12.53,16.8722,140.71,37.17
"2014-08-14",6.33,12.62,16.9096,143.49,37.34
"2014-08-15",NA,NA,16.9096,NA,NA
"2014-08-18",6.37,12.74,16.96,145.8,37.48
"2014-08-19",6.39,12.88,16.9658,147.48,37.51
"2014-08-20",6.41,12.91,16.9775,148.14,37.29
"2014-08-21",6.42,12.96,16.9801,148.84,37.3
"2014-08-22",6.42,12.95,17.0028,149.66,37.19
"2014-08-25",6.44,13.06,17.0327,149.37,37.41
"2014-08-26",6.44,13.09,17.0418,148.64,37.35
"2014-08-27",6.44,13.06,17.0631,149.35,37.26
"2014-08-28",6.44,13,17.0864,148.4,37.26
"2014-08-29",6.44,13.07,17.0813,148.74,37.14
"2014-09-01",NA,13.2,17.089,150.84,37.68
"2014-09-02",6.44,13.27,17.0772,151.89,37.66
"2014-09-03",6.44,13.33,17.0525,153.24,37.59
"2014-09-04",6.44,13.38,17.0554,153.35,37.56
"2014-09-05",6.42,13.34,17.0538,153.61,37.35
"2014-09-08",6.44,13.46,17.0689,156.53,37.67
"2014-09-09",6.42,13.46,17.0389,155.57,37.32
"2014-09-10",6.39,13.33,17.0163,154.5,37.32
"2014-09-11",6.4,13.34,17.0221,155.23,37.1
"2014-09-12",6.39,13.33,17.0195,155.98,36.94
"2014-09-15",6.36,13.2,17,155.33,36.92
"2014-09-16",6.35,13.1,16.9977,151.18,37.23
"2014-09-17",6.37,13.22,16.985,152.14,37.03
"2014-09-18",6.39,13.36,16.9824,154.39,36.71
"2014-09-19",6.41,13.53,16.9892,154.92,36.82
"2014-09-22",6.39,13.37,17.0232,155.45,36.72
"2014-09-23",6.36,13.22,17.0295,152.4,37
"2014-09-24",6.34,13.29,17.0115,151.61,36.74
"2014-09-25",6.33,13.34,17.0108,147.94,37.02
"2014-09-26",6.3,13.38,17.0141,150.18,37.12
"2014-09-29",6.29,13.33,16.9978,151.05,37.22
"2014-09-30",6.29,13.5,16.9863,150.46,36.64
"2014-10-01",6.26,13.35,17.0128,150.99,36.33
"2014-10-02",6.23,13.2,17.0331,148.88,35.83
"2014-10-03",6.26,13.46,17.0208,148.89,35.96
"2014-10-06",6.29,13.54,17.0464,149.8,36.35
"2014-10-07",6.25,13.28,17.0452,150.51,36.15
"2014-10-08",6.21,13.06,17.0591,149.88,35.93
"2014-10-09",6.25,13.12,17.0681,152.44,35.72
"2014-10-10",6.19,12.92,17.0637,150.22,35.36
"2014-10-13",6.11,12.58,17.0425,151.39,35.47
"2014-10-14",6.06,12.64,17.0728,150.93,34.94
"2014-10-15",6.02,12.51,17.0917,151.88,35.17
"2014-10-16",6,12.52,17.0833,146.91,35.04
"2014-10-17",6.07,12.63,17.0233,147.77,34.33
"2014-10-20",6.11,12.64,17.0321,148.97,35.39
"2014-10-21",6.16,12.85,17.0269,150.08,34.55
"2014-10-22",6.23,13.15,17.0552,151.55,35.43
"2014-10-23",6.22,13.12,17.0616,151.56,35.2
"2014-10-24",6.25,13.18,17.0668,152.55,35.13
"2014-10-27",6.27,13.17,17.0826,151.49,35.47
"2014-10-28",6.28,13.32,17.0739,151.96,35.42
"2014-10-29",6.3,13.32,17.0845,153.06,35.87
"2014-10-30",6.3,13.42,17.0927,153.93,35.88
"2014-10-31",6.35,13.84,17.0949,156.38,36.9
"2014-11-03",6.36,13.9,17.1016,158,37.11
"2014-11-04",6.36,13.85,17.1163,157.95,36.15
"2014-11-05",6.35,13.87,17.1153,158.64,35.78
"2014-11-06",6.35,13.9,17.1139,158.77,35.36
"2014-11-07",6.36,13.8,17.1167,159.13,35.14
"2014-11-10",6.36,13.9,17.1485,159.32,35.61
"2014-11-11",6.36,13.98,17.1392,160.04,35.29
"2014-11-12",6.37,13.91,17.1582,161.12,35.63
"2014-11-13",6.38,14.02,17.163,160.2,35.89
"2014-11-14",6.37,13.98,17.1682,160.81,35.83
"2014-11-17",6.37,13.97,17.1698,162.29,35.18
"2014-11-18",6.38,13.95,17.1535,162.97,35.83
"2014-11-19",6.38,13.82,17.1309,161.1,35.44
"2014-11-20",6.37,13.82,17.1201,161.5,35.41
"2014-11-21",6.41,14.11,17.1331,161.95,35.66
"2014-11-24",6.41,14.13,17.1486,162.39,35.58
"2014-11-25",6.42,14.12,17.1616,160.24,35.65
"2014-11-26",6.42,14.09,17.1823,160.97,35.94
"2014-11-27",NA,14.24,17.1999,162.02,35.63
"2014-11-28",6.44,14.25,17.209,163.27,35.76
"2014-12-01",6.41,14.11,17.2111,163.42,36.01
"2014-12-02",6.39,14.11,17.1956,164.17,36.25
"2014-12-03",6.39,14.31,17.1858,165.97,36.31
"2014-12-04",6.4,14.26,17.1902,165.8,36.57
"2014-12-05",6.41,14.4,17.2007,165.48,36.25
"2014-12-08",6.4,14.38,17.2137,163.79,36.24
"2014-12-09",6.35,14.02,17.2242,161.81,36.54
"2014-12-10",6.35,14.11,17.2275,162.91,36.23
"2014-12-11",6.31,14.06,17.2365,160.92,36.38
"2014-12-12",6.3,13.88,17.2351,159.56,36.42
"2014-12-15",6.25,13.78,17.2347,157.01,35.96
"2014-12-16",6.2,13.47,17.2417,152.37,35.7
"2014-12-17",6.18,13.47,17.232,151.67,35.67
"2014-12-18",6.28,13.95,17.2316,157.02,36.04
"2014-12-19",6.35,14.13,17.2265,157.08,36.33
"2014-12-22",6.37,14.25,17.2429,158.19,36.51
"2014-12-23",6.38,14.42,17.2557,157.48,36.39
"2014-12-24",NA,NA,NA,NA,36.31
"2014-12-29",6.41,14.43,17.2575,157.21,36.6
"2014-12-30",6.4,14.44,17.2755,158.94,36.6
"2014-12-31",6.4,14.47,17.2842,160.63,36.62
"2015-01-02",6.38,14.48,17.2918,161.93,36.27
"2015-01-05",6.33,14.37,17.3237,161.86,36.39
"2015-01-06",6.3,14.19,17.361,157.99,35.83
"2015-01-07",6.29,14.22,17.3845,158.75,35.87
"2015-01-08",6.34,14.45,17.3797,162.99,36.05
"2015-01-09",6.37,14.55,17.362,164.31,36.28
"2015-01-12",6.33,14.5,17.3842,166.03,36.29
"2015-01-13",6.36,14.75,17.4092,166.66,36.19
"2015-01-14",6.3,14.54,17.4144,166.03,36.78
"2015-01-15",6.28,14.63,17.435,168.67,37.37
"2015-01-16",6.25,14.68,17.4433,169.31,36.96
"2015-01-19",NA,14.74,17.4434,170.32,37.1
"2015-01-20",6.29,14.74,17.4521,171.34,37.31
"2015-01-21",6.3,14.87,17.4558,172.04,37.58
"2015-01-22",6.32,15.16,17.4261,172.32,37.65
"2015-01-23",6.37,15.77,17.5187,172.99,37.71
"2015-01-26",6.36,15.68,17.5551,172.66,37.81
"2015-01-27",6.34,15.45,17.5563,173.78,38.28
"2015-01-28",6.35,15.68,17.5678,174.76,38.51
"2015-01-29",6.31,15.38,17.5913,174.06,37.97
"2015-01-30",6.33,15.54,17.5879,172.35,38.18
"2015-02-02",6.29,15.26,17.6226,172.45,37.89
"2015-02-03",6.36,15.35,17.621,172.09,37.35
"2015-02-04",6.38,15.54,17.5989,171.51,37.99
"2015-02-05",6.38,15.54,17.6061,171.16,37.79
"2015-02-06",6.41,15.66,17.6208,168.82,38.28
"2015-02-09",6.41,15.59,17.6159,165.54,38.17
"2015-02-10",6.41,15.67,17.6026,166.15,37.95
"2015-02-11",6.44,15.78,17.5915,168.39,37.79
"2015-02-12",6.46,15.72,17.5924,169.45,37.96
"2015-02-13",6.48,15.92,17.6046,172.09,38.15
"2015-02-16",NA,15.92,17.5972,171.01,38.41
"2015-02-17",6.49,15.84,17.5889,171.09,38.47
"2015-02-18",6.51,15.95,17.5556,171.58,38.84
"2015-02-19",6.51,15.97,17.5719,171.89,39.08
"2015-02-20",6.5,16.09,17.5702,171.44,39.28
"2015-02-23",6.53,16.13,17.5758,169.94,39.27
"2015-02-24",6.54,16.21,17.6053,169.78,39.21
"2015-02-25",6.55,16.28,17.6504,170.08,39.45
"2015-02-26",6.54,16.43,17.6842,169.43,39.8
"2015-02-27",6.55,16.51,17.6754,172.23,39.82
"2015-03-02",6.56,16.5,17.687,175.31,39.89
"2015-03-03",6.56,16.57,17.6658,176.82,39.61
"2015-03-04",6.52,16.58,17.6569,174.72,39.61
"2015-03-05",6.55,16.71,17.6535,175.22,39.34
"2015-03-06",6.53,17.03,17.6939,174.68,39.42
"2015-03-09",6.49,16.84,17.6687,172.08,39.05
"2015-03-10",6.46,16.82,17.7073,171.28,38.78
"2015-03-11",6.42,17.02,17.7332,171.04,38.79
"2015-03-12",6.45,16.99,17.7511,173.38,39.19
"2015-03-13",6.45,17.2,17.7192,170.43,39.31
"2015-03-16",6.48,17.22,17.6921,170.72,39.31
"2015-03-17",6.48,17.2,17.6661,172.32,39.38
"2015-03-18",6.47,17.28,17.667,173.19,39.69
"2015-03-19",6.52,17.39,17.6804,172.27,39.72
"2015-03-20",6.53,17.24,17.6836,170.55,39.72
"2015-03-23",6.55,17.08,17.6893,169.18,40.34
"2015-03-24",6.54,17.11,17.6736,169.17,40.46
"2015-03-25",6.52,16.83,17.6788,168.05,40.48
"2015-03-26",6.45,16.51,17.6699,164.56,40.39
"2015-03-27",6.46,16.61,17.6562,165.64,39.89
"2015-03-30",6.49,16.88,17.7006,167.73,39.59
"2015-03-31",6.5,17.02,17.7044,168.33,39.51
"2015-04-01",6.46,16.8,17.7175,171.51,38.93
"2015-04-02",6.48,16.74,17.7349,171.87,39.49
"2015-04-07",6.52,16.95,17.7231,174.51,40.03
"2015-04-08",6.53,17.03,17.7527,176.58,40.7
"2015-04-09",6.53,17.2,17.7714,177.35,40.65
"2015-04-10",6.56,17.47,17.7665,177.74,40.63
"2015-04-13",6.58,17.6,17.7793,177.55,40.7
"2015-04-14",6.55,17.28,17.7849,177.66,41.64
"2015-04-15",6.58,17.31,17.7907,177.05,41.6
"2015-04-16",6.58,17.18,17.7965,176.18,41.93
"2015-04-17",6.56,16.9,17.7977,173.9,41.71
"2015-04-20",6.56,17.04,17.789,168.92,41.25
"2015-04-21",6.57,17.32,17.7704,167.94,41.16
"2015-04-22",6.57,17.39,17.7545,168.53,41.42
"2015-04-23",6.58,17.52,17.7231,167.36,41.39
"2015-04-24",6.6,17.42,17.7161,163.11,41.56
"2015-04-27",6.6,17.49,17.7264,159.38,41.58
"2015-04-28",6.57,17.14,17.7333,163.09,41.87
"2015-04-29",6.57,16.96,17.6868,162.99,41.82
"2015-04-30",6.55,16.67,17.6202,161.93,41.71
"2015-05-01",NA,NA,17.6202,NA,NA
"2015-05-04",6.58,16.81,17.5758,164.31,40.88
"2015-05-05",6.56,16.67,17.5614,165.35,40.81
"2015-05-06",6.52,16.24,17.5007,160.19,41.03
"2015-05-07",6.51,16.25,17.4407,155.82,40.76
"2015-05-08",6.56,16.52,17.464,159.32,41.01
"2015-05-11",6.59,16.63,17.4809,161.43,41.68
"2015-05-12",6.56,16.32,17.4442,157.75,41.7
"2015-05-13",6.57,16.39,17.4401,159.39,41.91
"2015-05-14",NA,NA,17.4401,NA,NA
"2015-05-15",6.6,16.58,17.4277,163.08,41.64
"2015-05-18",6.61,16.6,17.4637,164.38,41.84
"2015-05-19",6.61,17.01,17.4502,164.77,42.02
"2015-05-20",6.61,17.07,17.4484,165,41.66
"2015-05-21",6.61,17.02,17.433,165.11,41.64
"2015-05-22",6.63,17.31,17.4429,165.33,42
"2015-05-25",NA,NA,17.4429,NA,NA
"2015-05-26",6.61,17.33,17.434,163.29,41.52
"2015-05-27",6.61,17.42,17.4591,162.46,41.26
"2015-05-28",6.62,17.48,17.451,163.01,41.03
"2015-05-29",6.63,17.3,17.44,165.62,41.13
"2015-06-01",6.61,17.26,17.4406,165.89,41.3
"2015-06-02",6.61,16.9,17.3951,162.27,41.33
"2015-06-03",6.61,16.87,17.3503,159.55,41.4
"2015-06-04",6.61,16.77,17.3085,159.05,41.82
"2015-06-05",6.57,16.95,17.3087,159.86,41.65
"2015-06-08",6.56,16.72,17.283,157.06,41.38
"2015-06-09",6.53,16.43,17.2653,157.73,41.17
"2015-06-10",6.55,16.49,17.2218,159.5,41.26
"2015-06-11",6.58,16.73,17.2032,156.95,41.51
"2015-06-12",6.57,16.65,17.2387,156.25,41.6
"2015-06-15",6.54,16.46,17.2227,156.89,41.65
"2015-06-16",6.54,16.55,17.1856,157,41.45
"2015-06-17",6.56,16.65,17.1779,158.39,41.42
"2015-06-18",6.58,16.53,17.142,161.18,41.55
"2015-06-19",6.6,16.72,17.127,162.64,41.58
"2015-06-22",6.61,16.87,17.1741,164.55,41.59
"2015-06-23",NA,NA,17.1741,NA,NA
"2015-06-24",6.62,17.14,17.1696,163.8,42.03
"2015-06-25",6.6,17.03,17.1789,164.07,41.85
"2015-06-26",6.59,16.97,17.1679,164.26,41.88
"2015-06-29",6.54,16.7,17.1077,161.7,41.09
"2015-06-30",6.49,16.52,17.1199,163.45,41.55
"2015-07-01",6.51,16.88,17.1198,165.63,41.51
"2015-07-02",6.51,16.7,17.1179,167.52,41.5
"2015-07-03",NA,16.67,17.1224,167.52,41.72
"2015-07-06",6.5,16.56,17.1097,169.56,41.2
"2015-07-07",6.48,16.6,17.1304,170.2,41.61
"2015-07-08",6.47,16.25,17.1319,167.34,40.73
"2015-07-09",6.46,16.41,17.1325,167.11,40.33
"2015-07-10",6.47,16.24,17.123,167.96,40.04
"2015-07-13",6.51,16.59,17.1255,170.21,40.65
"2015-07-14",6.53,16.66,17.1461,171.62,40.86
"2015-07-15",6.55,16.8,17.1642,172.24,41.02
"2015-07-16",6.55,16.9,17.1967,173.93,40.98
"2015-07-17",6.55,17.16,17.2313,175.96,40.95
"2015-07-20",6.56,17.23,17.2599,175.52,40.88
"2015-07-21",6.55,17.23,17.2665,174.2,41.1
"2015-07-22",6.52,16.97,17.2627,177.07,41.23
"2015-07-23",6.5,16.89,17.2648,177.59,41.3
"2015-07-24",6.48,16.82,17.2772,175.94,41.11
"2015-07-27",6.43,16.29,17.2734,173.57,40.73
"2015-07-28",6.41,16.26,17.2748,174.9,40.81
"2015-07-29",6.46,16.3,17.2646,176.26,40.76
"2015-07-30",6.47,16.47,17.2596,177.52,40.76
"2015-07-31",6.5,16.34,17.2703,177.91,40.92
"2015-08-03",6.5,16.48,17.2826,179.69,41.03
"2015-08-04",6.49,16.26,17.2937,181.82,41.18
"2015-08-05",6.51,16.49,17.2819,182.29,41.09
"2015-08-06",6.49,16.36,17.2648,182.33,41.02
"2015-08-07",6.45,16.3,17.2587,183.05,41.04
"2015-08-10",6.46,16.37,17.2771,182.19,41.33
"2015-08-11",6.45,16.22,17.2569,179.8,41.32
"2015-08-12",6.39,15.76,17.2662,172.68,41.27
"2015-08-13",6.41,16.03,17.247,171.56,41.26
"2015-08-14",6.41,15.98,17.2302,175.47,41.52
"2015-08-17",6.4,15.94,17.232,175.02,41.42
"2015-08-18",6.44,16.15,17.24,175.73,41.56
"2015-08-19",6.4,15.99,17.2149,175.92,41.17
"2015-08-20",6.37,15.59,17.2074,172.09,40.69
"2015-08-21",6.28,15.03,17.2014,169.57,39.89
"2015-08-24",6.08,13.68,17.1694,155.25,37.8
"2015-08-25",6.11,14.35,17.154,158.44,38.58
"2015-08-26",6.08,14.4,17.1194,156.73,38.54
"2015-08-27",6.17,14.96,17.1222,161.27,39.39
"2015-08-28",6.23,15.22,17.1452,161.13,39.75
"2015-08-31",6.23,15.18,17.1531,160.72,39.75
"2015-09-01",6.18,14.85,17.1396,157.34,38.96
"2015-09-02",6.15,14.84,17.1389,156.62,38.59
"2015-09-03",6.21,15.21,17.1371,158.83,38.67
"2015-09-04",6.17,15,17.1417,155.47,38.34
"2015-09-07",NA,14.95,17.156,151.77,38.25
"2015-09-08",6.2,15.18,17.156,153.67,39.19
"2015-09-09",6.27,15.54,17.144,156.8,39.45
"2015-09-10",6.22,15.13,17.1444,156.19,39.24
"2015-09-11",6.22,15.08,17.118,156.31,39.66
"2015-09-14",6.24,15.14,17.1118,158.39,39.66
"2015-09-15",6.25,15.22,17.086,157.33,39.84
"2015-09-16",6.28,15.4,17.061,157.35,39.76
"2015-09-17",6.3,15.45,17.0541,157.97,40.13
"2015-09-18",6.27,15.14,17.073,160.28,40.43
"2015-09-21",6.26,15.23,17.0863,161.83,40.06
"2015-09-22",6.21,15.15,17.029,159.15,39.37
"2015-09-23",6.17,14.94,17.0249,159.53,39.49
"2015-09-24",6.13,14.57,17,159.44,39.53
"2015-09-25",6.15,14.88,16.9887,159.65,39.74
"2015-09-28",6.09,14.64,16.9392,158.8,40.1
"2015-09-29",6.01,14.4,16.8377,158.51,39.27
"2015-09-30",6.03,14.76,16.8273,161,39.46
"2015-10-01",6.05,14.87,16.8399,161.68,40.07
"2015-10-02",6.03,14.67,16.8388,161.8,39.77
"2015-10-05",6.13,15.22,16.8537,166.7,40.27
"2015-10-06",6.17,15.38,16.8667,167.2,40.57
"2015-10-07",6.19,15.54,16.9126,167.66,41.41
"2015-10-08",6.21,15.49,16.9219,167.44,41.49
"2015-10-09",6.25,15.5,16.9372,168.24,41.99
"2015-10-12",6.26,15.49,16.9647,167.84,42.03
"2015-10-13",6.26,15.47,16.967,167.68,42.61
"2015-10-14",6.25,15.31,16.9548,168,42.13
"2015-10-15",6.24,15.54,16.9666,169.57,42.69
"2015-10-16",6.28,15.51,16.9655,172.71,42.39
"2015-10-19",6.29,15.65,16.9781,175.66,42.06
"2015-10-20",6.3,15.64,16.973,173.78,41.8
"2015-10-21",6.29,15.76,16.9693,172.55,42.37
"2015-10-22",6.29,16.06,16.9906,172.28,42.38
"2015-10-23",6.35,16.49,17.0187,172.54,42.46
"2015-10-26",6.36,16.43,17.0379,170.96,42.44
"2015-10-27",6.36,16.35,17.0542,171.48,42.28
"2015-10-28",6.36,16.44,17.0525,170.78,42.19
"2015-10-29",6.38,16.59,17.0574,168.06,42.06
"2015-10-30",6.37,16.69,17.0335,165.97,42
"2015-11-02",6.38,16.83,17.041,164.78,41.58
"2015-11-03",6.4,17.05,17.0447,165.86,41.5
"2015-11-04",6.42,17.33,17.0442,166.05,41.56
"2015-11-05",6.41,17.45,17.0552,163.54,42.06
"2015-11-06",6.39,17.44,17.0496,162.79,41.87
"2015-11-09",6.38,17.48,17.0315,161.66,41.74
"2015-11-10",6.36,17.33,17.0251,158.51,41.62
"2015-11-11",6.34,17.28,17.0311,158.63,41.71
"2015-11-12",6.32,17.25,17.03,160.55,41.89
"2015-11-13",6.26,17.14,17.0347,159.83,42.12
"2015-11-16",6.25,16.98,17.0364,162.09,41.77
"2015-11-17",6.27,17.27,17.0421,163.91,42.13
"2015-11-18",6.27,17.33,17.0497,160.96,42.04
"2015-11-19",6.31,17.58,17.0651,164.74,42.51
"2015-11-20",6.31,17.79,17.0815,166.17,42.86
"2015-11-23",6.31,17.8,17.0893,166.14,42.73
"2015-11-24",6.29,17.71,17.086,166.63,43.37
"2015-11-25",6.31,17.83,17.0781,166.51,43.28
"2015-11-26",NA,17.81,17.084,167.49,43.54
"2015-11-27",6.31,17.83,17.0873,167.67,43.5
"2015-11-30",6.31,17.8,17.0878,169.3,43.36
"2015-12-01",6.31,17.88,17.0902,169.66,43.62
"2015-12-02",6.34,17.97,17.1048,171.03,43.69
"2015-12-03",6.3,17.47,17.1127,171.2,43.68
"2015-12-04",6.27,17.17,17.0743,168.8,43.37
"2015-12-07",6.3,17.45,17.0741,168.41,43.36
"2015-12-08",6.25,17.11,17.0799,166.34,43.15
"2015-12-09",6.25,17.05,17.0626,162.63,42.95
"2015-12-10",6.23,16.85,17.0457,163.68,42.81
"2015-12-11",6.2,16.59,17.0282,162.42,43.2
"2015-12-14",6.14,16.41,17.0204,162.8,42.85
"2015-12-15",6.16,16.66,16.9869,164.01,42.3
"2015-12-16",6.18,16.82,16.9881,165.75,42.41
"2015-12-17",6.22,17.04,16.9941,167.92,42.83
"2015-12-18",6.16,16.74,17.0114,165.55,42.82
"2015-12-21",6.14,16.54,17.0184,166.53,42.26
"2015-12-22",6.16,16.44,17.0151,166.77,42.27
"2015-12-23",6.19,16.74,17.0028,168.33,42.31
"2015-12-24",NA,NA,NA,NA,41.81
"2015-12-28",6.21,16.63,NA,169.88,42.23
"2015-12-29",6.23,16.82,17.0034,169.16,42.5
"2015-12-30",6.24,16.85,16.9858,169.46,42.83
"2015-12-31",6.21,16.77,16.9869,171.58,42.86
"2016-01-04",6.15,16.29,16.9869,169.34,41.96
"2016-01-05",6.14,16.47,16.991,170.47,42.84
"2016-01-06",6.12,16.19,16.9794,169.73,42.75
"2016-01-07",6.07,15.68,16.9564,164.73,42.38
"2016-01-08",6.03,15.59,16.9533,168.2,41.87
"2016-01-11",5.98,15.26,16.9447,165.91,41.41
"2016-01-12",6,15.42,16.9136,163.9,40.42
"2016-01-13",5.99,15.49,16.9099,162.77,41.28
"2016-01-14",5.87,14.87,16.8699,160.4,40.68
"2016-01-15",5.87,14.86,16.8228,156.61,40.67
"2016-01-18",NA,14.92,16.7861,149.49,40.05
"2016-01-19",5.84,15.08,16.7657,151.67,40.42
"2016-01-20",5.76,14.61,16.7103,149.5,38.91
"2016-01-21",5.76,14.78,16.6855,150.2,37.78
"2016-01-22",5.84,15.27,16.7269,153.22,39.04
"2016-01-25",5.86,15.24,16.7412,153.31,39.6
"2016-01-26",5.83,15.05,16.7318,151.76,38.86
"2016-01-27",5.86,15.06,16.7379,153.48,40
"2016-01-28",5.85,14.94,16.7676,153.2,39.56
"2016-01-29",5.86,15.16,16.7741,155.55,40.16
"2016-02-01",5.89,15.3,16.8019,156.43,41.07
"2016-02-02",5.88,15.11,16.7673,153.8,40.84
"2016-02-03",5.83,14.85,16.757,149.62,40.4
"2016-02-04",5.83,14.56,16.735,148.19,40.66
"2016-02-05",5.84,14.36,16.7126,150.2,40.18
"2016-02-08",5.74,13.88,16.6775,148.64,41.15
"2016-02-09",5.71,13.56,16.6502,145.75,39.81
"2016-02-10",5.71,13.68,16.5989,142.82,38.66
"2016-02-11",5.67,13.32,16.5406,135.4,38.32
"2016-02-12",5.65,13.21,16.5275,135.09,37.66
"2016-02-15",NA,13.71,16.5305,140.27,39.72
"2016-02-16",5.72,13.9,16.5608,135.93,39.95
