"","LU0997586788","LU0061175625","KYG9318Y1061","LU1046420805","LU0997587240"
"2018-10-18",15.57,52.18,19.57,9.35,10.386
"2018-10-19",15.44,51.68,19.54,9.38,10.4242
"2018-10-22",15.37,51.44,19.66,9.32,10.3573
"2018-10-23",14.97,50.07,19.32,9.17,10.1949
"2018-10-24",15,50.24,19.34,9.2,10.2331
"2018-10-25",15.02,50.23,18.99,9.23,10.2713
"2018-10-26",14.91,49.82,18.9,9.15,10.1758
"2018-10-29",15.04,50.2,18.96,9.2,10.2235
"2018-10-30",14.98,49.89,19.02,9.22,10.2522
"2018-10-31",15.17,50.67,19.45,9.35,10.3955
"2018-11-01",15.35,51.45,19.56,9.31,10.3526
"2018-11-02",15.53,52.05,19.79,9.29,10.3238
"2018-11-05",15.41,51.7,19.63,9.3,10.343
"2018-11-06",15.38,51.6,19.48,9.29,10.3238
"2018-11-07",15.46,51.93,19.64,9.4,10.4484
"2018-11-08",15.47,52,19.71,9.43,10.4772
"2018-11-09",15.31,51.44,19.52,9.46,10.5155
"2018-11-12",15.09,50.67,19.5,9.42,10.4676
"2018-11-13",15.08,50.8,19.44,9.43,10.4772
"2018-11-14",15.01,50.45,19.48,9.39,10.4293
"2018-11-15",14.87,49.65,19.58,9.34,10.3813
"2018-11-16",14.85,49.55,19.51,9.34,10.3813
"2018-11-19",14.71,48.96,19.54,9.29,10.3238
"2018-11-20",14.46,48.18,19.39,9.21,10.2376
"2018-11-21",14.59,48.59,19.47,9.32,10.3622
"2018-11-22",14.56,48.58,19.46,9.26,10.2951
"2018-11-23",14.6,48.73,19.38,9.29,10.3334
"2018-11-26",14.73,49.17,19.53,9.41,10.458
"2018-11-27",14.7,49.06,19.53,9.41,10.458
"2018-11-28",14.75,49.26,19.64,9.39,10.4389
"2018-11-29",14.87,49.53,19.69,9.39,10.4389
"2018-11-30",14.84,49.5,19.68,9.36,10.4101
"2018-12-03",14.92,49.73,20.05,9.44,10.492
"2018-12-04",14.71,49.01,19.99,9.41,10.4632
"2018-12-05",14.57,48.55,19.65,9.3,10.3382
"2018-12-06",14.19,47.23,19.22,9.02,10.04
"2018-12-07",14.27,47.42,19.33,9.11,10.1362
"2018-12-10",14,46.31,19.09,8.99,10.0016
"2018-12-11",14.13,46.81,19.27,9.09,10.117
"2018-12-12",14.33,47.54,19.43,9.17,10.2035
"2018-12-13",14.24,47.21,19.47,9.15,10.1843
"2018-12-14",14.21,47.11,19.37,9.12,10.1458
"2018-12-17",13.97,46.29,19.36,9.02,10.0304
"2018-12-18",13.94,46.16,19.24,8.94,9.9439
"2018-12-19",13.96,46.13,19.31,8.98,9.992
"2018-12-20",13.73,45.32,19.2,8.88,9.8862
"2018-12-21",13.77,45.53,19.22,8.86,9.8669
"2018-12-24",13.66,45.18,19.18,8.78,9.7804
"2018-12-26",13.65,45.07,,8.76,9.7515
"2018-12-27",13.62,44.88,19.22,8.69,9.6842
"2018-12-28",13.87,45.79,19.57,8.86,9.8669
"2018-12-31",14.03,46.4,,8.9,9.9054
"2019-01-02",14.11,46.63,19.18,8.9,9.9008
"2019-01-03",14.02,46.28,19.03,8.87,9.8815
"2019-01-04",14.28,47.3,18.94,9.06,10.0841
"2019-01-07",14.48,47.89,19.23,9.02,10.0455
"2019-01-08",14.6,48.29,19.13,9.1,10.1324
"2019-01-09",14.81,48.91,19.34,9.15,10.1999
"2019-01-10",14.84,48.99,19.36,9.18,10.2289
"2019-01-11",14.82,49.07,19.43,9.17,10.2192
"2019-01-14",14.75,48.89,19.34,9.12,10.1613
"2019-01-15",14.66,48.62,19.49,9.16,10.2096
"2019-01-16",14.71,48.88,19.44,9.16,10.2096
"2019-01-17",14.73,49.03,19.47,9.18,10.2289
"2019-01-18",14.88,49.52,19.56,9.32,10.3833
"2019-01-21",14.91,49.61,19.57,9.33,10.3929
"2019-01-22",14.86,49.5,19.54,9.28,10.3447
"2019-01-23",14.84,49.52,19.54,9.27,10.3254
"2019-01-24",14.86,49.64,19.59,9.3,10.364
"2019-01-25",15.02,50.2,19.77,9.27,10.335
"2019-01-28",14.94,49.81,19.86,9.2,10.2578
"2019-01-29",14.96,49.9,19.71,9.29,10.3543
"2019-01-30",15,49.95,19.77,9.33,10.4026
"2019-01-31",15.04,50.12,,9.37,10.4412
"2019-02-01",15.04,50.02,,9.42,10.4969
"2019-02-04",15.08,50.16,,9.45,10.5357
"2019-02-05",15.18,50.39,,9.58,10.6809
"2019-02-06",15.18,50.41,,9.56,10.6616
"2019-02-07",14.94,49.61,,9.5,10.5841
"2019-02-08",14.81,49.22,,9.43,10.5163
"2019-02-11",14.91,49.52,19.85,9.52,10.6131
"2019-02-12",14.96,49.66,19.94,9.55,10.6519
"2019-02-13",15.06,50.01,19.95,9.61,10.71
"2019-02-14",15.12,50.1,19.93,9.59,10.6906
"2019-02-15",15.24,50.61,19.88,9.66,10.7778
"2019-02-18",15.32,50.89,19.98,9.67,10.7778
"2019-02-19",15.31,50.92,20.01,9.65,10.7584
"2019-02-20",15.37,51.11,20.24,9.7,10.8262
"2019-02-21",15.36,51.08,20.28,9.7,10.8262
"2019-02-22",15.39,51.2,20.35,9.7,10.8262
"2019-02-25",15.42,51.28,20.47,9.69,10.8068
"2019-02-26",15.47,51.65,20.44,9.71,10.8359
"2019-02-27",15.39,51.48,20.44,9.67,10.7778
"2019-02-28",15.42,51.51,,9.77,10.8726
"2019-03-01",15.57,51.9,,9.74,10.8629
"2019-03-04",15.69,52.34,20.38,9.77,10.892
"2019-03-05",15.72,52.45,20.29,9.81,10.9406
"2019-03-06",15.7,52.33,20.37,9.82,10.9503
"2019-03-07",15.54,51.92,20.21,9.79,10.9212
"2019-03-08",15.43,51.34,20.1,9.73,10.8532
"2019-03-11",15.46,51.64,20.14,9.77,10.892
"2019-03-12",15.49,51.55,20.26,9.79,10.9115
"2019-03-13",15.51,51.82,20.3,9.8,10.9309
"2019-03-14",15.6,52.2,20.27,9.88,11.0086
"2019-03-15",15.69,52.53,20.48,9.95,11.0961
"2019-03-18",15.66,52.3,20.65,10,11.1544
"2019-03-19",15.75,52.62,20.7,10.02,11.1738
"2019-03-20",15.68,52.31,20.72,9.91,11.0475
"2019-03-21",15.67,52.08,20.87,9.93,11.0669
"2019-03-22",15.45,51.64,20.88,9.8,10.9309
"2019-03-25",15.31,51.12,20.58,9.76,10.892
"2019-03-26",15.4,51.54,20.73,9.84,10.9795
"2019-03-27",15.36,51.43,20.68,9.82,10.9503
"2019-03-28",15.38,51.36,20.63,9.84,10.9698
"2019-03-29",15.52,51.77,20.91,9.9,11.0378
"2019-04-01",15.63,52.36,21.01,9.95,11.0842
"2019-04-02",15.69,52.46,21.06,10.01,11.1622
"2019-04-03",15.91,53.28,21.1,10.07,11.2304
"2019-04-04",15.88,53.09,,10.08,11.2402
"2019-04-05",16.03,53.49,,10.11,11.2791
"2019-04-08",15.94,53.15,21.31,10.1,11.2597
"2019-04-09",15.84,52.75,21.43,10.04,11.2012
"2019-04-10",15.77,52.62,21.43,10.06,11.2207
"2019-04-11",15.86,52.84,21.26,10.07,11.2304
"2019-04-12",15.97,53.16,21.27,10.06,11.2304
"2019-04-15",16.05,53.41,21.53,10.06,11.2304
"2019-04-16",16.09,53.53,21.58,10.11,11.2791
"2019-04-17",16.1,53.5,21.86,10.13,11.2986
"2019-04-18",16.11,53.57,21.67,10.16,11.3376
"2019-04-19",16.11,53.58,,10.16,11.3376
"2019-04-22",16.11,53.51,,10.16,11.3376
"2019-04-23",16.2,53.79,21.59,10.24,11.4254
"2019-04-24",16.22,53.89,21.58,10.22,11.4059
"2019-04-25",16.24,53.94,21.55,10.2,11.3766
"2019-04-26",16.31,54.21,21.3,10.22,11.3961
"2019-04-29",16.3,54.1,21.19,10.22,11.4059
"2019-04-30",16.31,54.19,21.35,10.22,11.4059
"2019-05-01",16.33,54.24,,10.22,11.4035
"2019-05-02",16.26,54,21.46,10.16,11.3351
"2019-05-03",16.34,54.43,21.77,10.17,11.3449
"2019-05-06",16.18,53.77,21.24,10.08,11.2471
"2019-05-07",16.1,53.47,21.52,10.03,11.1982
"2019-05-08",16.14,53.48,21.38,10.01,11.1786
"2019-05-09",15.9,52.61,20.82,9.93,11.0808
"2019-05-10",16,52.98,20.78,9.95,11.1004
"2019-05-13",15.8,52.26,,9.9,11.0515
"2019-05-14",15.97,52.82,20.3,9.99,11.159
"2019-05-15",16,52.87,20.5,10.06,11.2275
"2019-05-16",16.09,53.13,20.29,10.21,11.3938
"2019-05-17",16.09,53.02,19.77,10.21,11.3938
"2019-05-20",15.98,52.64,19.71,10.15,11.3253
"2019-05-21",16.08,53.05,19.91,10.2,11.384
"2019-05-22",16.1,53.01,19.86,10.18,11.3644
"2019-05-23",15.84,52.1,19.56,10.05,11.2275
"2019-05-24",15.95,52.5,19.5,10.12,11.296
"2019-05-27",15.97,52.54,19.56,10.14,11.3253
"2019-05-28",15.96,52.5,19.56,10.11,11.296
"2019-05-29",15.73,51.79,19.47,9.98,11.1493
"2019-05-30",15.86,52.19,19.61,10.05,11.2177
"2019-05-31",15.75,51.85,19.86,9.96,11.1101
"2019-06-03",15.68,51.49,19.86,9.98,11.147
"2019-06-04",15.74,51.72,19.73,10.02,11.1863
"2019-06-05",15.8,51.93,19.84,10.04,11.2157
"2019-06-06",15.79,51.81,19.75,10.08,11.2648
"2019-06-07",15.87,52.06,,10.19,11.3825
"2019-06-10",15.93,52.19,19.96,10.23,11.4218
"2019-06-11",15.93,52.21,20.13,10.26,11.461
"2019-06-12",15.9,52.04,20.15,10.23,11.4218
"2019-06-13",15.92,52.15,20.08,10.23,11.4218
"2019-06-14",15.86,51.98,20.01,10.21,11.4022
"2019-06-17",15.87,51.92,20.11,10.21,11.4022
"2019-06-18",16.02,52.47,20.15,10.31,11.5101
"2019-06-19",15.93,52.26,20.58,10.3,11.5003
"2019-06-20",16.03,52.64,20.86,10.32,11.5297
"2019-06-21",16.04,52.57,20.81,10.31,11.5199
"2019-06-24",15.98,52.31,20.93,10.32,11.5297
"2019-06-25",16.02,52.48,20.77,10.32,11.5199
"2019-06-26",15.96,52.24,20.78,10.28,11.4807
"2019-06-27",15.99,52.32,21.03,10.28,11.4807
"2019-06-28",16.11,52.73,21.05,10.3,11.5003
"2019-07-01",16.2,53.06,,10.37,11.5865
"2019-07-02",16.15,52.87,21.34,10.45,11.6653
"2019-07-03",16.24,53.23,21.07,10.53,11.7637
"2019-07-04",16.24,53.22,21.17,10.53,11.7637
"2019-07-05",16.2,53.04,21.19,10.47,11.6948
"2019-07-08",16.07,52.63,21.08,10.47,11.7046
"2019-07-09",15.97,52.23,21.02,10.46,11.6948
"2019-07-10",16.02,52.35,21.19,10.43,11.6554
"2019-07-11",16.01,52.42,21.45,10.41,11.6357
"2019-07-12",16.07,52.65,21.44,10.41,11.6357
"2019-07-15",16.09,52.7,21.53,10.44,11.6751
"2019-07-16",16.14,52.8,21.6,10.47,11.7046
"2019-07-17",16.04,52.46,21.47,10.43,11.6554
"2019-07-18",15.98,52.35,21.38,10.39,11.616
"2019-07-19",16.01,52.48,21.56,10.41,11.6357
"2019-07-22",16.1,52.73,21.67,10.41,11.6456
"2019-07-23",16.13,52.9,21.68,10.47,11.7046
"2019-07-24",16.17,53.13,21.73,10.45,11.685
"2019-07-25",16.25,53.26,21.87,10.39,11.616
"2019-07-26",16.31,53.39,21.82,10.46,11.6948
"2019-07-29",16.29,53.07,21.77,10.49,11.7243
"2019-07-30",16.17,52.49,21.66,10.38,11.6062
"2019-07-31",16.18,52.68,21.67,10.36,11.5865
"2019-08-01",16.22,52.78,21.48,10.41,11.6434
"2019-08-02",16.03,52.03,20.85,10.21,11.4163
"2019-08-05",15.75,50.99,20.51,10.04,11.2187
"2019-08-06",15.73,50.88,20.56,9.98,11.1595
"2019-08-07",15.78,50.95,20.66,10.04,11.2187
"2019-08-08",15.99,51.67,21.01,10.19,11.3965
"2019-08-09",15.84,51.14,,10.17,11.3669
"2019-08-12",15.79,50.96,21.05,10.16,11.357
"2019-08-13",15.82,51.14,20.92,10.2,11.3965
"2019-08-14",15.65,50.58,21.16,10.07,11.2582
"2019-08-15",15.48,50.18,20.97,10.06,11.2484
"2019-08-16",15.64,50.76,21.11,10.16,11.3669
"2019-08-19",15.8,51.25,21.34,10.27,11.4755
"2019-08-20",15.71,50.95,21.35,10.19,11.3965
"2019-08-21",15.9,51.6,21.45,10.3,11.5249
"2019-08-22",15.86,51.57,21.52,10.23,11.4459
"2019-08-23",15.8,51.3,21.45,10.17,11.3768
"2019-08-26",15.77,51.21,21.08,10.17,11.3768
"2019-08-27",15.83,51.52,21.21,10.22,11.4261
"2019-08-28",15.76,51.22,21.29,10.19,11.3965
"2019-08-29",15.85,51.47,21.32,10.26,11.4854
"2019-08-30",15.95,51.91,21.58,10.3,11.5348
"2019-09-02",15.94,51.81,21.64,10.39,11.6216
"2019-09-03",15.91,51.75,21.48,10.37,11.6017
"2019-09-04",16.02,52.19,21.72,10.43,11.681
"2019-09-05",16.14,52.74,21.93,10.46,11.7107
"2019-09-06",16.16,52.81,21.96,10.47,11.7206
"2019-09-09",16.17,52.85,21.98,10.43,11.6711
"2019-09-10",16.12,52.69,21.89,10.44,11.6909
"2019-09-11",16.26,53.21,22.03,10.48,11.7404
"2019-09-12",16.3,53.21,22.28,10.52,11.7801
"2019-09-13",16.4,53.68,,10.49,11.7504
"2019-09-16",16.36,53.64,22.29,10.44,11.6909
"2019-09-17",16.35,53.55,22.21,10.48,11.7404
"2019-09-18",16.37,53.56,22.36,10.51,11.7702
"2019-09-19",16.52,54.07,22.33,10.59,11.8494
"2019-09-20",16.54,54.23,22.44,10.64,11.9188
"2019-09-23",16.43,53.83,22.41,10.61,11.8791
"2019-09-24",16.45,53.97,22.36,10.61,11.8791
"2019-09-25",16.25,53.26,22.29,10.55,11.8197
"2019-09-26",16.32,53.44,22.28,10.65,11.9188
"2019-09-27",16.42,53.7,22.07,10.69,11.9782
"2019-09-30",16.43,53.79,,10.73,12.0179
"2019-10-01",16.37,53.4,,10.64,11.926
"2019-10-02",16.01,52.21,22.22,10.37,11.6179
"2019-10-03",15.83,51.67,22.21,10.35,11.5981
"2019-10-04",16.05,52.32,22.34,10.47,11.7372
"2019-10-07",16.09,52.42,,10.52,11.7968
"2019-10-08",15.92,51.77,22.49,10.44,11.6974
"2019-10-09",15.95,51.76,22.27,10.48,11.7471
"2019-10-10",15.99,52.09,,10.5,11.767
"2019-10-11",16.28,53.45,,10.62,11.9061
"2019-10-14",16.27,53.31,22.6,10.58,11.8565
"2019-10-15",16.46,54.07,22.63,10.68,11.9757
"2019-10-16",16.44,54.07,22.6,10.62,11.9061
"2019-10-17",16.49,54.13,22.76,10.66,11.9558
"2019-10-18",16.46,54.03,22.85,10.65,11.9459
"2019-10-21",16.46,54.24,22.85,10.67,11.9658
"2019-10-22",16.5,54.34,23,10.73,12.0254
"2019-10-23",16.48,54.2,22.95,10.72,12.0155
"2019-10-24",16.54,54.36,23.13,10.8,12.1049
"2019-10-25",16.59,54.56,23.08,10.78,12.085
"2019-10-28",16.69,54.85,23.19,10.8,12.1049
"2019-10-29",16.72,54.92,23.22,10.78,12.085
"2019-10-30",16.69,54.8,23.32,10.81,12.1248
"2019-10-31",16.67,54.79,23.35,10.74,12.0453
"2019-11-01",16.77,55.11,23.35,10.78,12.0927
"2019-11-04",16.87,55.44,23.63,10.86,12.1725
"2019-11-05",16.85,55.47,23.9,10.84,12.1526
"2019-11-06",16.81,55.37,23.89,10.89,12.2024
"2019-11-07",16.9,55.66,23.86,10.88,12.2024
"2019-11-08",16.91,55.66,23.96,10.89,12.2124
"2019-11-11",16.94,55.81,23.59,10.88,12.2024
"2019-11-12",16.96,55.95,23.78,10.9,12.2223
"2019-11-13",16.94,55.88,23.66,10.87,12.1924
"2019-11-14",16.92,55.86,23.52,10.85,12.1625
"2019-11-15",17.04,56.23,23.65,10.9,12.2223
"2019-11-18",17.07,56.34,23.82,10.92,12.2423
"2019-11-19",17.07,56.27,23.95,10.91,12.2323
"2019-11-20",17.08,56.3,23.78,10.86,12.1725
"2019-11-21",17.01,56.08,23.68,10.84,12.1526
"2019-11-22",17.04,56.13,23.69,10.86,12.1825
"2019-11-25",17.15,56.61,23.69,10.93,12.2622
"2019-11-26",17.23,56.83,23.79,10.91,12.2423
"2019-11-27",17.24,56.94,23.91,10.94,12.2722
"2019-11-28",17.23,56.95,23.85,10.95,12.2822
"2019-11-29",17.17,56.74,23.58,10.88,12.2024
"2019-12-02",17.06,56.29,23.53,10.71,12.01
"2019-12-03",16.97,56.04,23.58,10.65,11.94
"2019-12-04",17.12,56.71,23.54,10.76,12.08
"2019-12-05",17.17,56.9,23.76,10.72,12.03
"2019-12-06",17.27,57.32,23.8,10.85,12.17
"2019-12-09",17.18,57,23.91,10.83,12.16
"2019-12-10",17.19,57.01,23.85,10.85,12.17
"2019-12-11",17.17,56.97,23.93,10.87,12.19
"2019-12-12",17.24,57.12,24.17,10.92,12.26
"2019-12-13",17.52,58.33,24.33,11.01,12.35
"2019-12-16",17.72,58.97,24.51,11.16,12.52
"2019-12-17",17.68,58.49,24.79,11.18,12.54
"2019-12-18",17.68,58.53,24.78,11.15,12.51
"2019-12-19",17.67,58.39,24.71,11.17,12.53
"2019-12-20",17.73,58.76,24.61,11.24,12.6
"2019-12-23",17.87,59,24.63,11.26,12.63
"2019-12-24",17.9,59.2,24.53,11.27,12.64
"2019-12-26",17.92,59.28,,11.27,12.64
